area,bedrooms,age,price
4611,3,29,718448
3425,3,7,569351
3182,3,8,549663
2241,4,13,405945
3779,5,6,697776
2597,5,18,513906
4809,2,2,756647
2194,5,8,429184
2069,5,11,434679
4514,3,1,742210
1329,3,22,233081
4423,2,29,665579
3758,1,6,590722
3714,2,16,572705
4391,2,27,673620
2947,4,20,531315
4169,4,12,725680
1739,2,11,282783
1325,2,29,214937
801,2,27,148941
1174,5,29,277000
3140,4,10,546074
4805,2,3,774176
3852,3,13,659667
3165,3,27,503643
2325,5,3,484908
2446,5,15,476673
813,1,16,115189
3078,1,29,458563
3955,1,13,588682
929,5,17,262489
4614,5,3,795615
4016,5,20,719070
3738,3,11,643794
4728,5,27,801805
2840,3,21,465586
827,1,19,145735
2913,1,22,451136
2052,1,11,328728
2846,2,28,461628
4823,2,16,755001
4174,4,21,706593
4266,4,3,737611
3881,4,22,660189
4578,2,6,747261
1429,2,14,240297
1069,4,24,248685
3439,4,18,593709
2793,5,17,530072
3691,4,4,631227
4232,5,23,745150
2080,3,15,385798
3160,2,11,524898
1375,4,26,276131
2107,2,3,353835
3992,2,3,632491
3978,2,16,627997
3534,3,5,586458
3012,1,21,455381
3152,4,29,525262
4368,1,10,665711
2455,1,19,364820
2379,1,25,352324
3003,2,4,483487
2190,5,29,432629
2542,2,29,395686
2725,2,19,425971
1419,1,11,230324
2074,2,2,360145
1756,1,10,284183
2739,5,29,491772
4753,4,11,804656
3181,1,25,489629
1768,5,20,355378
2116,4,16,411422
1843,3,19,327690
1081,1,23,170370
3644,1,24,564336
1858,3,11,325416
3332,3,14,557374
4628,1,2,714919
1808,3,23,311381
2029,2,28,326563
1835,4,5,356630
1075,4,27,214865
3540,4,5,606463
3089,2,19,506323
2039,3,21,349008
925,5,12,252401
4865,3,18,769908
4668,1,4,721208
2008,4,22,364138
4049,3,17,683535
1718,5,10,375088
4723,1,20,702331
2769,2,6,444953
3593,2,25,578930
