Age,Gender,Salary,JobRole,JobSatisfaction,WorkLifeBalance,YearsAtCompany,Overtime,DistanceFromHome,EducationLevel,PerformanceRating,MaritalStatus,Attrition
43,Female,34752,HR,2,2,5,No,10,4,2,Single,Yes
23,Male,93993,HR,3,2,2,No,26,2,3,Divorced,No
31,Male,67616,HR,1,1,5,No,6,5,2,Single,Yes
26,Female,77127,Technician,5,3,7,Yes,17,5,2,Single,No
31,Male,99777,Manager,2,4,27,Yes,23,5,4,Married,Yes
54,Male,25453,HR,2,2,5,No,37,3,1,Divorced,Yes
59,Male,100432,Engineer,4,2,15,Yes,28,5,2,Married,No
34,Male,112362,Technician,2,2,27,No,16,3,3,Divorced,Yes
52,Male,35976,Sales,2,1,15,No,12,1,1,Married,Yes
57,Male,95404,Manager,5,4,26,No,21,5,2,Divorced,No
45,Female,106932,Manager,5,2,20,No,24,4,1,Married,No
36,Male,102707,Engineer,1,1,2,Yes,28,2,1,Divorced,Yes
50,Female,114647,Sales,3,1,16,No,37,2,1,Married,No
29,Female,58688,Sales,5,2,20,Yes,21,1,1,Single,Yes
26,Male,111840,Technician,1,2,5,Yes,33,2,1,Divorced,Yes
50,Female,118789,Manager,2,1,29,Yes,2,2,2,Single,Yes
25,Female,27017,HR,1,1,5,Yes,37,1,1,Married,Yes
33,Male,32957,Engineer,1,2,29,Yes,19,1,1,Divorced,Yes
23,Male,29792,Engineer,1,1,21,Yes,28,1,3,Married,Yes
48,Male,80982,Engineer,1,1,18,No,15,4,3,Married,Yes
52,Female,38237,Engineer,5,2,19,Yes,1,1,1,Single,Yes
57,Female,76586,HR,3,2,14,No,28,1,2,Divorced,No
57,Male,106787,HR,1,3,18,Yes,35,1,3,Married,Yes
47,Male,44252,Technician,4,4,1,No,32,5,3,Single,No
48,Female,35707,Manager,2,2,7,No,28,5,1,Single,Yes
26,Female,59206,HR,2,2,6,Yes,9,4,2,Single,Yes
41,Female,119276,Technician,2,2,26,No,24,4,4,Single,Yes
32,Female,28543,Sales,2,4,7,No,4,2,2,Married,No
31,Male,69135,Manager,2,3,12,Yes,3,5,3,Married,Yes
59,Female,60031,HR,1,1,21,Yes,22,4,3,Married,Yes
27,Female,67929,Sales,3,4,26,Yes,39,4,3,Divorced,No
29,Female,90747,Technician,4,2,14,Yes,25,2,3,Divorced,No
44,Female,82851,HR,5,2,11,Yes,22,1,3,Single,Yes
47,Male,80311,HR,4,3,14,Yes,34,3,1,Married,Yes
33,Male,90867,Sales,5,3,13,Yes,20,2,1,Single,No
47,Female,113780,HR,5,3,6,Yes,36,3,1,Married,No
34,Female,82196,Engineer,4,1,16,No,37,2,3,Divorced,No
39,Male,98705,HR,1,4,25,Yes,39,2,1,Single,Yes
46,Male,82894,Manager,2,4,4,No,27,1,3,Married,No
54,Female,112640,Sales,1,3,19,Yes,32,4,2,Married,Yes
33,Female,39591,Manager,2,1,9,Yes,29,5,4,Married,Yes
57,Male,73893,Technician,3,4,18,Yes,32,2,2,Single,No
25,Male,25727,Manager,5,2,17,Yes,24,1,4,Divorced,Yes
26,Male,46359,Engineer,4,2,29,No,3,3,1,Married,Yes
58,Male,68822,Engineer,3,2,29,No,27,4,4,Single,No
29,Male,113534,Manager,2,4,24,Yes,9,2,2,Married,Yes
49,Male,35929,Technician,1,3,23,No,23,3,2,Single,No
52,Female,85091,HR,4,2,9,Yes,7,2,4,Divorced,Yes
30,Male,105378,Engineer,5,3,1,No,17,5,2,Married,No
50,Male,48519,Manager,3,1,5,Yes,37,5,1,Single,Yes
35,Male,42393,Manager,5,2,2,No,7,4,2,Married,No
43,Male,59318,Manager,2,1,18,No,30,3,4,Single,Yes
32,Female,99531,HR,5,3,4,No,13,5,1,Divorced,No
44,Female,119192,Sales,1,4,6,Yes,18,1,4,Divorced,Yes
22,Male,72934,Technician,3,3,6,No,31,4,3,Single,No
58,Female,106103,Sales,3,2,26,Yes,22,2,3,Divorced,Yes
42,Female,53840,Technician,1,2,9,No,14,3,1,Married,Yes
47,Female,114367,Technician,5,3,0,Yes,18,3,1,Divorced,Yes
57,Female,38265,Manager,1,2,10,Yes,35,1,2,Married,Yes
44,Female,30424,Engineer,4,2,22,Yes,17,5,4,Divorced,Yes
22,Female,45625,Manager,1,1,6,No,19,3,3,Divorced,Yes
36,Male,104622,HR,5,4,5,No,31,1,2,Married,No
42,Male,54187,Technician,1,3,5,Yes,39,1,3,Divorced,Yes
30,Male,60929,Engineer,2,1,12,Yes,36,2,2,Married,Yes
30,Male,86892,Technician,1,2,15,Yes,15,1,2,Married,Yes
31,Male,45539,Technician,1,1,12,No,29,4,3,Divorced,Yes
47,Female,81630,Manager,5,4,1,No,16,3,2,Divorced,No
56,Male,115639,Engineer,4,3,18,No,33,4,3,Married,No
46,Male,118410,Engineer,4,4,18,No,25,1,1,Single,No
47,Female,34215,Technician,5,4,28,No,16,1,4,Divorced,No
32,Female,64385,Engineer,5,1,18,Yes,30,4,2,Divorced,Yes
59,Male,112580,Engineer,5,1,17,Yes,34,2,3,Single,Yes
23,Female,102462,Manager,2,4,24,Yes,2,1,3,Single,Yes
28,Female,50008,Sales,3,2,5,Yes,38,4,4,Divorced,Yes
39,Female,73928,HR,1,3,1,No,18,4,4,Divorced,Yes
48,Female,108096,Sales,5,2,18,No,5,3,4,Divorced,No
55,Male,114876,Engineer,5,2,25,Yes,6,2,2,Single,Yes
48,Female,49976,Technician,5,3,5,No,12,5,3,Divorced,No
38,Male,52626,HR,4,1,19,Yes,12,4,2,Single,Yes
45,Male,84789,HR,5,2,22,No,12,3,2,Single,No
46,Female,29700,Technician,1,1,21,No,9,5,1,Married,Yes
28,Female,88645,HR,5,3,14,Yes,22,3,4,Single,No
27,Female,98396,Technician,1,2,5,Yes,16,3,1,Married,Yes
45,Male,32526,HR,2,1,27,Yes,4,2,1,Single,Yes
54,Female,64500,Sales,3,1,2,No,3,1,2,Single,No
50,Female,93049,HR,4,2,10,No,16,2,2,Married,No
43,Female,98366,Manager,1,3,7,No,14,5,3,Married,No
47,Female,105317,Technician,2,4,24,Yes,38,2,1,Married,Yes
49,Female,84117,HR,3,1,21,Yes,4,1,4,Married,Yes
42,Male,81096,Technician,3,3,17,Yes,2,2,1,Married,Yes
28,Female,32910,Manager,3,2,16,No,10,2,3,Married,No
38,Female,106383,HR,1,1,18,No,11,2,1,Married,Yes
41,Female,96185,HR,2,1,18,Yes,39,4,1,Single,Yes
41,Male,75248,Manager,5,1,23,Yes,26,4,1,Single,Yes
43,Female,99656,Manager,2,3,20,Yes,37,2,3,Married,Yes
49,Male,26951,Manager,2,1,16,No,26,1,1,Divorced,Yes
28,Male,90212,Technician,2,1,26,No,4,1,2,Married,Yes
22,Female,100701,Manager,1,2,3,Yes,26,1,1,Divorced,Yes
53,Female,104888,Technician,1,1,6,Yes,38,1,2,Single,Yes
34,Female,100282,Sales,1,3,4,Yes,28,3,1,Single,Yes
51,Male,119533,HR,2,2,25,No,2,2,2,Divorced,Yes
44,Male,66954,HR,1,4,28,No,2,2,1,Single,Yes
40,Male,114719,Engineer,3,2,15,No,16,3,4,Married,No
53,Male,33804,Sales,1,1,5,Yes,23,1,2,Divorced,Yes
51,Male,117705,Manager,4,4,13,Yes,23,5,4,Divorced,No
50,Male,25595,Manager,1,2,25,Yes,13,5,2,Single,Yes
50,Female,54592,Sales,1,1,19,Yes,21,3,1,Divorced,Yes
51,Female,65643,Manager,1,2,1,Yes,39,5,3,Divorced,Yes
37,Male,87665,Engineer,1,3,24,Yes,25,4,1,Divorced,Yes
40,Female,45823,Technician,4,1,17,Yes,37,2,3,Single,No
39,Female,30972,HR,5,3,17,Yes,13,5,4,Divorced,No
22,Male,40882,Sales,1,1,12,Yes,15,4,3,Divorced,Yes
35,Male,91394,HR,3,3,27,Yes,28,2,3,Married,No
23,Female,96055,Technician,4,4,17,Yes,3,4,3,Married,No
49,Male,48769,Sales,5,3,16,No,23,2,3,Divorced,No
51,Male,50020,Technician,1,2,12,Yes,4,2,4,Single,Yes
59,Female,67748,Manager,5,1,27,Yes,3,5,3,Divorced,Yes
25,Male,110374,Manager,3,2,11,No,39,3,1,Single,Yes
22,Female,69912,Manager,4,3,2,Yes,8,5,2,Married,No
29,Female,37879,Technician,4,1,21,No,25,1,2,Married,No
50,Female,58798,Technician,5,3,6,No,12,4,1,Divorced,No
24,Female,114826,Technician,1,4,0,Yes,5,1,4,Single,Yes
53,Female,71073,HR,2,4,29,Yes,33,2,1,Single,Yes
31,Male,100791,Technician,4,4,4,No,25,5,1,Single,No
31,Male,91983,Manager,2,3,20,Yes,25,1,3,Divorced,Yes
40,Male,68005,Engineer,4,3,0,Yes,35,1,3,Single,Yes
55,Male,119731,Technician,1,4,3,Yes,15,1,4,Married,Yes
54,Female,27850,Engineer,1,3,25,No,26,2,4,Single,No
44,Female,53400,Manager,4,2,0,No,10,2,2,Single,Yes
49,Male,36953,Technician,5,3,12,Yes,24,2,4,Divorced,No
53,Female,48535,HR,1,2,13,Yes,35,1,1,Divorced,Yes
28,Male,100536,HR,1,4,14,No,29,4,2,Divorced,No
50,Male,100039,Engineer,3,3,16,No,38,5,2,Divorced,No
29,Male,106029,HR,1,4,11,Yes,5,5,3,Divorced,Yes
22,Female,29055,HR,3,1,6,Yes,24,2,3,Single,No
24,Female,63170,HR,1,3,22,Yes,19,1,2,Single,Yes
45,Female,53251,Manager,1,3,18,No,9,4,3,Divorced,No
44,Female,29532,HR,5,4,22,No,26,3,3,Divorced,No
29,Male,29924,Sales,5,4,2,Yes,25,2,3,Single,No
58,Female,73037,Technician,1,4,17,No,35,3,2,Divorced,No
24,Female,103082,HR,4,1,25,Yes,36,5,2,Married,No
54,Female,117115,HR,4,1,3,Yes,14,5,2,Single,Yes
49,Male,96621,HR,1,4,29,Yes,6,4,1,Married,Yes
29,Male,102926,Sales,4,3,25,Yes,32,4,2,Single,No
55,Female,103816,HR,1,3,2,Yes,26,3,3,Single,Yes
56,Female,114654,HR,5,4,11,No,15,5,2,Single,No
53,Female,95400,Technician,2,2,22,No,31,4,1,Single,Yes
45,Female,117385,Sales,3,1,27,Yes,37,4,3,Single,Yes
35,Male,118102,Sales,4,1,11,No,38,5,4,Single,No
53,Female,35702,HR,4,2,16,Yes,37,5,2,Single,No
37,Female,40385,Sales,5,4,5,No,19,1,2,Divorced,No
25,Female,34336,Engineer,4,3,14,No,14,4,4,Divorced,No
58,Male,90421,Sales,1,3,29,No,36,3,3,Divorced,No
42,Male,56225,Sales,1,1,1,No,37,2,2,Married,Yes
35,Female,61021,Sales,2,2,7,Yes,11,2,1,Single,Yes
52,Female,28782,Manager,2,3,13,No,27,5,3,Divorced,No
39,Female,113877,Manager,2,1,4,No,2,3,2,Divorced,Yes
28,Female,114630,Manager,1,3,2,No,22,1,3,Divorced,No
31,Female,74111,Sales,2,3,9,No,2,4,2,Single,No
28,Male,114402,Engineer,2,3,6,No,20,1,4,Single,No
54,Male,109585,Sales,1,1,29,No,17,3,2,Married,Yes
44,Male,67719,HR,5,2,10,No,4,1,3,Married,No
42,Female,74037,Engineer,4,4,14,No,14,5,2,Single,No
40,Male,105103,Manager,3,2,1,Yes,7,2,2,Married,Yes
40,Male,28513,Technician,1,3,4,Yes,15,5,3,Divorced,Yes
57,Male,38335,Engineer,1,2,10,Yes,30,4,2,Married,Yes
50,Female,69140,Manager,3,3,7,No,16,5,2,Divorced,No
39,Female,105373,Engineer,3,1,12,Yes,2,3,3,Married,No
23,Male,102658,Engineer,2,1,10,Yes,19,3,4,Divorced,Yes
22,Female,59840,Sales,3,1,16,Yes,1,4,1,Married,Yes
26,Male,56007,HR,4,3,14,No,31,4,1,Married,No
41,Male,81947,Technician,4,2,0,Yes,4,2,1,Single,Yes
32,Male,118220,Manager,4,4,18,Yes,27,1,1,Single,No
23,Male,51393,Engineer,4,4,15,Yes,25,2,1,Divorced,Yes
24,Female,82480,Technician,4,1,18,Yes,22,5,1,Single,Yes
44,Female,113290,Engineer,2,4,12,Yes,10,1,3,Divorced,Yes
33,Female,111335,HR,1,3,22,Yes,33,4,3,Single,Yes
41,Female,34107,Technician,3,2,21,Yes,30,3,3,Single,Yes
26,Male,30993,Manager,1,4,22,No,30,5,2,Divorced,No
58,Female,118650,Engineer,3,4,3,Yes,16,2,4,Married,No
59,Male,77066,HR,2,2,10,Yes,9,4,4,Divorced,Yes
51,Female,67942,Technician,2,4,17,No,17,1,1,Divorced,Yes
30,Female,41138,Engineer,5,2,17,No,35,1,1,Divorced,Yes
55,Female,69527,Engineer,5,3,9,No,15,3,3,Single,No
56,Male,34190,Manager,2,3,16,No,28,4,4,Single,No
43,Male,117259,HR,2,3,29,No,20,4,2,Single,No
45,Male,103422,Sales,3,1,12,Yes,33,5,2,Divorced,Yes
38,Male,80698,Engineer,2,3,29,Yes,33,5,3,Married,Yes
31,Female,107315,Technician,1,4,24,Yes,36,1,1,Married,Yes
51,Male,118710,Manager,3,1,13,No,13,2,4,Divorced,No
44,Male,54086,Manager,2,1,29,Yes,4,1,2,Divorced,Yes
53,Female,42322,Engineer,3,1,6,Yes,23,5,1,Married,Yes
38,Female,108569,Engineer,3,3,9,No,8,5,4,Single,No
38,Male,110610,Engineer,4,1,2,No,13,5,2,Divorced,No
35,Female,28435,Sales,5,3,1,Yes,24,1,1,Married,Yes
30,Male,78331,Engineer,3,3,29,No,30,4,2,Married,No
23,Female,53942,HR,3,1,18,Yes,30,2,1,Married,Yes
46,Male,84635,Technician,4,1,6,No,25,2,1,Single,Yes
30,Male,54059,Engineer,2,4,4,Yes,33,5,1,Married,Yes
43,Male,82557,Sales,3,1,27,Yes,9,3,4,Married,Yes
25,Male,77389,Technician,4,3,2,Yes,26,1,3,Married,No
47,Male,78014,Manager,1,4,24,No,24,4,1,Divorced,Yes
50,Female,57826,Engineer,4,4,1,No,33,5,1,Divorced,Yes
55,Male,55297,Technician,5,3,22,No,39,3,2,Divorced,No
44,Male,68890,Manager,5,1,25,No,25,5,2,Married,No
58,Male,46322,Sales,2,1,21,Yes,15,3,4,Married,Yes
32,Male,60739,HR,2,2,5,Yes,6,2,3,Single,Yes
27,Male,34719,Engineer,5,1,13,Yes,20,3,2,Married,No
39,Female,104553,HR,5,2,6,Yes,16,2,4,Single,Yes
42,Female,33314,Sales,3,4,21,No,21,2,4,Married,No
57,Male,118831,Technician,5,4,1,No,15,1,4,Single,No
59,Female,100164,Technician,2,4,10,No,39,3,1,Divorced,Yes
55,Male,102028,Sales,5,2,20,No,4,4,3,Married,No
38,Female,61113,Sales,2,3,2,Yes,24,4,3,Single,Yes
58,Female,40357,Engineer,1,3,8,No,3,3,3,Divorced,No
46,Male,45365,Manager,5,4,7,No,1,1,1,Divorced,No
59,Female,64029,HR,2,2,25,No,30,4,1,Married,Yes
33,Female,26737,HR,4,2,10,Yes,13,5,2,Single,No
44,Male,99632,Technician,3,4,17,Yes,18,4,2,Single,No
43,Male,110474,Technician,2,1,0,Yes,11,1,2,Single,Yes
42,Female,103218,Engineer,5,4,14,No,29,2,4,Divorced,No
48,Female,52499,Sales,5,2,3,Yes,4,2,3,Single,No
52,Female,71157,HR,1,1,3,Yes,25,2,1,Divorced,Yes
27,Male,81247,Engineer,4,3,27,Yes,36,1,2,Single,No
48,Female,66034,Technician,2,1,9,Yes,36,2,4,Divorced,Yes
55,Female,25294,Technician,4,3,10,Yes,28,2,1,Married,No
33,Female,49596,HR,1,2,17,Yes,8,1,4,Divorced,Yes
28,Male,36434,Technician,3,4,22,No,21,5,4,Single,No
31,Male,83382,Technician,4,4,28,No,35,4,4,Divorced,No
38,Male,63098,Manager,1,4,14,Yes,18,1,3,Single,Yes
47,Male,29655,Sales,2,4,2,No,25,1,1,Married,Yes
42,Female,108029,Technician,3,4,6,Yes,5,3,1,Divorced,Yes
49,Male,71228,Manager,5,2,6,No,8,2,4,Married,No
23,Female,28771,Engineer,1,2,16,Yes,23,5,3,Divorced,Yes
22,Female,99099,Technician,5,4,21,No,3,3,4,Divorced,No
57,Female,81799,Engineer,3,1,19,Yes,37,5,2,Married,No
47,Female,87257,Technician,1,4,26,Yes,31,2,1,Married,Yes
50,Male,42558,HR,1,3,23,No,29,2,1,Divorced,Yes
42,Male,83436,Manager,3,3,15,Yes,20,2,3,Divorced,No
32,Male,117103,Manager,2,3,15,No,3,4,1,Divorced,Yes
32,Male,57376,HR,1,3,7,Yes,23,5,1,Married,Yes
57,Male,112458,Sales,3,4,2,Yes,21,5,1,Single,No
56,Female,102924,Manager,4,3,19,Yes,13,3,3,Married,No
55,Male,54332,Engineer,5,1,14,Yes,8,1,4,Divorced,Yes
45,Male,71737,Manager,1,4,0,No,5,2,1,Divorced,Yes
43,Male,114031,Sales,4,3,9,No,25,2,4,Married,No
26,Male,98970,Engineer,1,4,1,No,39,3,3,Divorced,Yes
54,Female,76952,Engineer,2,4,6,No,37,5,4,Divorced,No
57,Female,45991,HR,3,4,13,No,5,4,2,Divorced,No
41,Female,52472,Technician,1,2,15,Yes,8,5,1,Divorced,Yes
40,Female,84946,HR,3,3,26,Yes,4,4,3,Divorced,No
56,Female,51849,Technician,1,2,27,No,22,4,3,Single,Yes
38,Male,26541,HR,2,1,14,Yes,14,5,4,Married,Yes
55,Female,27765,Technician,2,1,6,No,19,2,1,Married,Yes
30,Female,68074,Manager,4,2,12,Yes,13,4,3,Married,Yes
47,Female,54283,Engineer,2,3,24,No,35,3,2,Single,No
23,Male,25769,Technician,3,4,9,Yes,4,3,4,Single,No
30,Male,42806,Manager,2,1,8,Yes,33,4,2,Married,Yes
30,Female,115518,Sales,1,1,8,No,22,2,2,Married,Yes
38,Male,27972,HR,2,1,5,Yes,1,4,4,Married,Yes
22,Male,43256,Sales,3,3,23,No,11,3,2,Divorced,No
46,Female,43653,Manager,1,2,24,Yes,16,3,4,Single,Yes
46,Male,111669,Sales,4,2,11,No,4,5,4,Single,No
56,Male,64339,Sales,4,3,29,Yes,29,2,3,Divorced,No
24,Male,50757,Manager,4,1,22,No,39,5,3,Single,No
58,Female,67399,Engineer,1,3,19,Yes,38,1,2,Married,Yes
51,Female,69013,Technician,4,3,29,Yes,24,4,2,Single,No
59,Female,39706,HR,2,2,19,No,9,5,2,Divorced,Yes
55,Male,63231,Technician,1,3,21,No,8,2,2,Married,No
33,Female,52909,HR,1,3,13,No,14,4,2,Single,No
40,Male,101631,Technician,1,1,26,No,15,4,3,Married,Yes
58,Male,82572,Sales,5,4,19,Yes,22,4,2,Single,No
38,Male,110879,Engineer,3,1,26,Yes,37,4,2,Married,Yes
31,Female,88767,Sales,5,2,6,Yes,15,4,1,Divorced,Yes
33,Female,51469,Engineer,5,4,7,Yes,6,2,4,Divorced,No
37,Female,26313,Manager,5,1,7,Yes,1,1,4,Single,Yes
45,Female,32847,HR,3,3,29,No,20,3,3,Single,No
40,Male,75222,HR,5,3,7,No,36,1,4,Married,No
29,Female,99702,Manager,4,4,1,No,2,3,2,Divorced,No
52,Male,34930,Technician,1,4,13,No,6,5,4,Married,No
42,Female,28285,Manager,1,3,9,No,2,4,3,Divorced,No
38,Female,60863,Manager,2,2,17,Yes,3,5,4,Married,Yes
44,Female,41704,Engineer,4,1,17,Yes,7,5,4,Married,No
58,Male,43705,Manager,3,3,17,No,20,3,1,Married,No
37,Male,25555,HR,1,1,15,No,5,2,1,Single,Yes
27,Male,46323,Sales,5,1,19,No,25,4,2,Divorced,No
29,Male,95968,Engineer,2,1,4,Yes,38,5,4,Single,Yes
46,Male,91922,Engineer,2,1,19,No,18,1,2,Single,Yes
39,Female,78915,Technician,1,2,4,No,1,4,4,Married,Yes
46,Male,35619,Sales,4,2,19,No,25,2,2,Divorced,No
33,Male,97390,Engineer,2,2,22,Yes,17,4,2,Single,Yes
36,Male,84274,Manager,1,3,9,No,15,5,4,Married,No
47,Male,98173,Engineer,4,3,16,Yes,5,1,1,Divorced,No
47,Female,46225,Engineer,1,3,29,No,17,5,3,Divorced,No
53,Male,51739,Engineer,1,2,12,No,21,2,2,Single,Yes
31,Female,72708,Technician,4,1,16,Yes,23,3,3,Married,Yes
37,Female,78019,Engineer,4,2,17,Yes,10,1,4,Single,Yes
28,Female,101154,Engineer,4,3,12,No,17,2,2,Divorced,No
38,Male,32373,Technician,1,4,16,No,1,2,4,Single,No
44,Female,60281,Sales,2,3,27,Yes,37,5,2,Married,Yes
47,Male,45187,HR,3,1,14,Yes,7,5,1,Divorced,Yes
42,Male,92863,Technician,3,2,25,No,12,5,2,Married,No
43,Male,109085,Technician,1,4,11,Yes,1,3,2,Married,Yes
28,Male,64220,Engineer,1,4,27,Yes,20,4,2,Divorced,Yes
35,Male,32642,Engineer,2,1,9,No,31,4,4,Married,Yes
36,Female,104971,HR,4,2,12,No,4,5,1,Married,Yes
28,Female,80556,Engineer,1,4,29,No,26,5,4,Married,No
30,Male,58760,Manager,5,3,10,Yes,12,3,3,Divorced,No
29,Female,63192,Engineer,4,1,2,No,22,4,1,Married,Yes
44,Male,29381,Engineer,1,4,21,No,1,3,2,Single,No
50,Female,44558,Manager,5,1,9,Yes,1,2,2,Single,Yes
39,Female,55782,HR,2,2,10,No,3,4,2,Married,Yes
52,Female,29782,Manager,5,2,5,Yes,12,5,3,Single,Yes
51,Female,116417,Technician,1,2,0,Yes,21,1,3,Single,Yes
56,Female,79712,Manager,3,3,5,No,13,2,2,Divorced,No
39,Male,119945,Sales,1,4,4,No,13,1,2,Married,No
38,Male,44462,Technician,3,2,6,Yes,18,3,3,Divorced,Yes
35,Female,85030,Engineer,2,3,21,No,33,3,4,Married,No
52,Male,93519,Technician,2,2,11,Yes,6,3,1,Single,Yes
45,Female,81411,HR,4,2,11,Yes,25,5,1,Divorced,Yes
56,Male,80206,HR,4,4,6,No,23,3,3,Divorced,No
55,Female,71950,Manager,3,3,1,No,24,1,3,Single,No
24,Female,27523,Technician,3,2,27,Yes,37,2,4,Single,No
58,Female,85926,Engineer,2,3,0,Yes,26,5,2,Married,Yes
47,Male,34677,HR,5,3,29,No,4,2,3,Married,No
44,Male,100828,Engineer,3,2,22,Yes,38,3,4,Single,Yes
36,Female,40089,Sales,3,2,24,Yes,35,4,3,Single,Yes
25,Female,29581,HR,5,1,17,Yes,11,5,2,Divorced,No
50,Male,36907,Manager,4,4,11,No,36,3,3,Divorced,No
43,Male,30609,Sales,4,2,6,Yes,25,5,2,Married,Yes
46,Male,76153,Technician,3,1,18,Yes,20,4,4,Divorced,Yes
34,Male,75539,Engineer,4,4,21,No,1,1,1,Single,No
39,Male,69143,HR,4,2,2,Yes,30,1,4,Single,Yes
54,Female,47936,Sales,4,3,28,Yes,4,1,1,Single,No
37,Male,75182,Sales,2,4,9,No,23,4,4,Single,No
23,Female,38163,HR,1,3,28,No,35,2,1,Married,Yes
56,Female,84758,Technician,3,1,26,No,22,4,4,Single,No
55,Male,71057,Technician,3,2,26,No,31,4,2,Single,No
51,Male,37537,Manager,2,1,10,No,1,3,1,Single,Yes
34,Female,47419,Technician,1,2,4,Yes,4,1,1,Single,Yes
34,Male,67578,Manager,1,2,1,Yes,19,5,2,Married,Yes
39,Female,99991,Sales,2,3,7,No,30,2,2,Married,No
53,Male,99599,HR,5,1,13,Yes,1,5,1,Divorced,Yes
53,Male,25834,Technician,5,3,7,No,19,3,1,Married,No
56,Male,57214,Manager,1,3,22,Yes,21,3,1,Married,Yes
50,Female,117934,Sales,5,3,5,Yes,22,2,3,Married,No
50,Male,27413,Technician,5,1,0,Yes,2,5,4,Divorced,Yes
37,Female,34505,Engineer,5,2,23,No,6,2,2,Single,No
31,Male,27105,Sales,1,2,0,No,21,2,2,Divorced,Yes
51,Female,93104,Technician,5,1,7,No,33,1,4,Single,No
46,Male,83408,Sales,3,2,10,Yes,19,5,2,Married,No
41,Female,62679,HR,1,1,17,No,27,1,2,Single,Yes
26,Female,104731,HR,2,1,23,Yes,37,1,1,Divorced,Yes
22,Female,90131,HR,5,2,9,Yes,29,1,2,Single,No
51,Female,89280,Engineer,4,4,11,No,28,4,3,Single,No
24,Female,40762,HR,1,3,19,Yes,34,3,3,Married,Yes
35,Female,83703,Engineer,2,1,22,Yes,1,3,1,Single,Yes
51,Male,106434,HR,3,1,15,Yes,25,4,1,Single,Yes
25,Female,88079,Sales,2,4,4,No,21,2,2,Married,No
39,Female,46577,Technician,5,1,15,No,34,5,1,Divorced,No
58,Female,26214,Technician,4,1,23,No,26,5,1,Married,No
46,Male,111339,HR,5,2,11,Yes,36,5,4,Single,Yes
22,Male,73114,Technician,2,2,5,Yes,35,1,1,Married,Yes
36,Male,114234,HR,1,4,29,No,23,5,3,Married,No
30,Female,88230,HR,4,1,4,Yes,17,5,2,Single,Yes
36,Male,57980,Manager,4,3,0,No,12,5,1,Divorced,Yes
45,Male,92194,Manager,2,2,18,No,20,3,4,Married,Yes
25,Female,102806,Manager,5,3,9,No,39,4,2,Divorced,No
33,Female,62792,Engineer,2,3,24,No,27,2,2,Married,No
58,Male,70807,Manager,4,4,13,Yes,37,4,2,Single,No
58,Female,47301,HR,2,4,24,Yes,20,5,4,Single,Yes
27,Female,30141,Sales,4,1,20,Yes,11,2,3,Married,Yes
45,Female,38777,Manager,5,4,2,No,28,2,4,Married,No
32,Female,63346,Manager,1,2,5,Yes,2,4,4,Married,Yes
34,Male,79703,Sales,1,1,4,No,24,4,2,Single,Yes
55,Female,119977,HR,2,1,16,No,16,4,4,Married,Yes
46,Male,72819,Engineer,4,3,17,No,12,4,2,Single,No
28,Male,53469,Manager,1,3,11,Yes,16,1,1,Married,Yes
25,Male,28845,Sales,4,3,4,No,36,3,1,Single,No
29,Male,48290,HR,5,1,29,Yes,2,3,4,Married,Yes
41,Female,55699,Technician,2,4,8,Yes,25,5,3,Divorced,Yes
50,Female,69252,Engineer,4,4,11,Yes,29,1,2,Divorced,No
31,Female,28293,Sales,2,4,19,Yes,28,2,4,Single,Yes
55,Male,82089,Sales,4,1,8,Yes,10,4,4,Married,Yes
47,Male,41608,Sales,4,1,2,Yes,23,5,3,Divorced,No
24,Male,91273,Manager,5,1,0,Yes,32,2,2,Married,Yes
27,Female,41619,Technician,2,1,21,Yes,31,3,4,Married,Yes
26,Male,103006,Engineer,3,1,14,No,19,2,3,Married,No
26,Female,112908,HR,4,4,9,No,15,4,2,Divorced,No
44,Female,106653,HR,4,1,13,Yes,33,4,1,Single,Yes
30,Female,39779,Technician,1,4,6,Yes,17,3,3,Divorced,Yes
56,Female,76040,Sales,2,1,3,Yes,36,4,4,Single,Yes
41,Male,119830,Sales,3,4,25,Yes,20,1,1,Divorced,Yes
56,Female,81325,Sales,5,2,4,Yes,9,5,2,Married,No
39,Male,46630,Sales,3,2,19,No,38,3,3,Married,No
38,Female,37178,Sales,5,4,15,Yes,3,3,1,Married,Yes
45,Male,44935,Technician,3,2,2,Yes,2,2,1,Divorced,Yes
24,Male,72258,Manager,3,2,16,Yes,18,3,4,Divorced,No
53,Female,47784,Engineer,2,4,12,No,23,5,1,Single,Yes
56,Female,88722,Sales,1,1,5,No,19,1,4,Divorced,Yes
59,Female,48027,Manager,3,1,25,Yes,7,2,2,Single,Yes
34,Male,82853,HR,4,4,4,No,35,5,4,Divorced,No
46,Female,92359,Technician,4,3,15,No,20,3,3,Married,No
30,Female,97388,Manager,4,3,10,No,20,4,1,Divorced,No
25,Male,103608,Sales,1,2,16,No,19,4,2,Married,Yes
35,Female,101669,Sales,3,3,4,No,16,5,4,Divorced,No
58,Male,40111,Sales,5,2,5,No,38,1,4,Single,No
55,Female,57312,Manager,5,1,9,No,21,4,4,Divorced,No
32,Male,49161,Sales,2,4,20,No,29,5,2,Married,No
24,Male,92313,Manager,1,1,0,Yes,38,2,2,Divorced,Yes
49,Female,75374,Sales,3,4,29,Yes,24,3,3,Single,No
