Area_sqft,Bedrooms,Bathrooms,Location_Rating,Age_of_House,Price
2862,1,3,10,16,434121
2894,1,1,2,8,310176
3171,3,3,7,13,413237
929,4,2,7,16,206746
894,3,1,5,3,167038
3474,4,2,9,1,491616
2755,2,4,3,9,326732
1593,5,1,4,9,235489
2634,4,1,1,22,257767
2916,1,3,6,26,351693
2483,3,1,4,17,295199
810,2,2,1,24,90596
2665,1,3,2,2,294972
3397,2,4,3,9,399869
1511,5,2,9,24,291044
2870,3,4,8,19,413453
1614,3,4,7,13,276656
1145,5,4,4,5,204367
3149,3,1,1,9,319075
1162,4,2,8,13,241273
3243,2,2,4,1,377603
3065,1,1,3,25,321331
2988,5,3,9,15,455901
1784,4,4,10,4,349748
2439,1,2,4,4,307648
1627,1,1,4,20,208049
1155,5,4,9,10,295125
2147,4,3,2,28,231499
2663,1,3,5,25,327031
926,1,4,4,6,184087
1403,4,3,9,27,277687
2728,3,2,5,24,324048
1813,1,2,9,12,311655
850,2,2,9,20,210547
2230,4,3,2,16,257255
2592,1,2,9,3,388584
2436,5,1,3,14,300370
2445,2,2,4,1,314678
3267,1,2,1,10,330126
2005,2,3,1,15,217517
2654,2,2,1,7,269486
1366,3,4,9,4,289367
3218,2,1,8,14,416377
1735,3,3,5,24,237065
2734,4,1,5,16,337061
2132,3,4,9,14,357175
1001,5,3,3,3,191712
3160,1,3,3,17,332023
916,4,2,7,21,191208
1736,4,1,9,14,308435
1374,5,4,6,18,254588
3091,3,4,2,3,348027
1336,1,3,1,22,138701
2425,3,2,2,19,252532
2922,2,3,1,3,305369
1185,3,3,10,12,296357
1274,4,3,10,22,288359
1217,1,3,9,5,277669
3194,3,4,10,10,490965
3487,1,4,8,9,472064
1738,1,3,7,1,303892
1754,2,3,3,13,237694
1675,2,2,8,3,304457
1562,4,3,2,19,203199
2002,5,4,2,11,247685
2005,1,1,10,16,337354
1463,5,4,3,6,244046
824,4,2,7,24,174668
2790,1,4,1,3,297113
2003,1,1,8,19,283646
1509,5,3,7,6,272825
2679,3,1,4,8,319455
1984,2,3,5,22,262493
3024,3,3,10,13,459864
1084,5,4,1,12,159539
862,2,4,4,10,170471
1802,3,4,1,3,229090
1461,2,2,1,4,159537
3003,1,4,10,1,465381
2292,3,2,1,13,249412
1766,2,4,7,24,269208
1648,2,3,7,4,286956
1907,2,2,4,22,245255
1488,3,1,2,11,167258
947,4,2,3,19,148151
1141,3,2,8,11,240601
3323,5,1,8,12,456538
1886,3,2,6,11,268378
2524,2,3,10,6,420281
2183,1,4,9,12,354873
3408,3,1,9,27,449599
1126,3,4,4,9,205932
2592,2,3,1,25,273172
2559,1,1,1,10,259921
1789,1,4,10,3,337826
3062,5,4,5,3,420611
3282,3,3,2,20,346039
1751,1,4,6,28,251976
1522,1,3,7,23,257633
2879,4,2,1,16,307621
3132,4,3,6,3,421697
1228,1,2,8,10,236094
2300,5,1,5,24,283978
1085,1,4,7,11,225891
2865,2,3,10,8,451869
1568,3,3,6,6,253797
3437,5,4,4,20,405344
2194,2,4,7,11,343249
993,5,1,10,28,231789
3349,2,1,9,27,418273
1787,3,3,10,21,337450
1936,3,1,10,12,341450
2961,4,2,7,16,383041
2501,2,1,5,18,297575
1746,4,1,7,13,293310
1630,2,3,3,22,201615
2720,4,2,2,3,321892
854,3,1,5,15,144981
1599,5,2,4,22,225247
1577,4,2,5,28,227521
2281,2,2,8,21,331822
2701,2,4,4,14,329647
3009,3,4,9,18,452613
2934,2,4,7,28,376160
854,1,4,10,29,231491
2623,5,3,7,14,393856
2001,4,1,8,5,315970
1632,5,4,6,21,258553
1112,3,3,8,14,250728
2658,4,1,3,25,298141
2807,4,4,10,27,415154
2806,1,1,10,8,413521
3290,3,4,1,28,323529
2590,2,3,6,28,314902
1127,1,2,1,23,119607
3426,1,2,9,15,452400
2087,5,1,2,28,216586
2943,5,3,2,29,311201
1911,5,2,7,15,311827
2111,1,4,2,19,230477
3338,2,2,10,26,448630
1251,4,1,8,20,251668
2323,5,1,6,6,319035
964,2,3,7,19,198659
981,3,1,7,27,175326
3316,5,2,6,25,392574
1709,4,2,10,8,327098
1622,3,2,9,6,312783
1743,3,2,9,20,314609
2801,4,3,7,23,373665
2854,5,4,9,29,417021
1129,1,4,10,15,273605
1574,4,3,3,27,206225
2998,4,1,3,3,338632
946,4,4,1,10,151327
1714,3,1,5,15,251783
2371,2,4,4,24,296055
2108,1,1,2,16,218438
881,5,3,9,17,239050
1313,5,2,3,19,171338
2720,2,1,8,11,382718
2739,4,2,6,16,366715
1545,1,1,5,5,238329
2209,5,1,1,5,239019
1506,5,1,4,26,204473
1270,4,1,3,14,187395
1195,2,1,1,18,113778
2355,1,2,5,26,286829
3108,2,1,6,8,376920
1604,2,2,2,5,205350
1733,1,3,3,7,237622
2079,1,4,6,16,290516
2557,5,1,4,23,292572
1704,5,4,9,14,320735
1876,1,2,5,5,267081
2690,3,3,4,24,304390
2323,5,3,2,9,278952
2187,3,3,6,4,313698
2103,1,4,10,4,384173
1392,5,2,2,16,178072
3479,2,1,7,24,403684
2906,1,1,3,17,311429
927,4,2,9,15,234338
1535,3,4,5,4,272021
3373,1,1,8,6,442465
1320,1,2,6,16,225028
3399,5,1,10,29,477170
1036,5,3,8,4,248971
2104,5,1,3,6,251525
2581,4,4,3,5,320129
2101,5,2,5,16,304613
3341,1,4,10,25,458010
2851,5,2,3,16,341788
1241,2,3,8,10,244982
2876,5,2,10,9,448704
3457,4,1,8,4,454312
1604,2,1,2,29,150713
874,1,3,4,14,139749
2975,1,2,10,4,427180
2889,3,3,1,12,317301
2179,2,1,4,24,257838
840,3,4,4,10,161219
2881,2,3,10,4,457714
2500,2,4,9,18,386803
2201,4,4,3,13,281130
1387,3,2,2,13,170884
2422,4,3,9,14,387114
1141,2,4,9,18,248890
2874,1,4,1,1,324234
1445,2,2,6,21,226369
1530,4,2,10,16,299501
967,3,1,8,15,205869
1409,3,4,3,22,185441
3115,4,1,9,25,433002
2572,3,4,2,5,302988
2840,5,1,6,29,350064
1254,1,2,1,6,152433
2508,1,3,7,6,370403
1501,1,2,3,3,190567
3481,3,1,7,16,445259
2399,3,1,4,12,301325
929,2,3,9,4,257016
2645,2,4,5,1,371891
2186,1,1,3,4,251657
1492,5,1,8,1,290548
2194,2,1,6,21,289393
1593,2,3,2,27,189529
828,3,2,3,27,127671
948,5,1,8,8,224284
2119,1,3,10,24,341766
2858,2,1,7,5,383761
1936,5,4,10,26,367173
986,5,3,6,2,242627
2050,1,1,1,12,199023
2133,5,3,9,22,359262
897,5,1,3,17,147539
854,5,2,5,7,176025
3470,2,1,7,11,426244
1557,1,3,7,4,261956
1205,5,4,3,5,208017
2916,5,4,4,6,366668
2112,2,4,10,11,360505
2585,1,1,7,1,368775
1550,3,2,8,25,276451
2562,2,1,2,10,273472
1164,1,4,9,20,245344
2826,5,3,7,24,393484
1281,1,4,8,21,259429
3048,1,3,6,11,399087
953,1,2,6,24,178607
2324,3,3,9,17,358977
2920,1,1,4,8,322739
3143,3,1,5,27,342176
1840,5,1,9,13,316528
2464,3,3,1,27,245786
2040,5,1,4,20,247958
860,5,1,7,18,198819
1738,3,1,9,27,298172
2439,2,2,10,22,379366
2889,4,3,6,16,371267
824,1,3,8,2,221277
1862,4,4,9,5,342307
930,1,3,10,18,241860
2052,1,2,4,3,276683
907,5,3,1,27,104404
971,1,2,8,22,197848
2258,1,2,2,17,232279
901,3,3,1,16,125201
3371,4,4,7,6,471830
3122,3,1,10,19,435663
2436,1,1,9,7,365005
1840,5,3,9,18,328219
1129,3,3,3,14,180955
2320,3,2,6,6,332542
811,2,3,7,8,211072
2141,1,2,10,15,356514
1015,5,4,9,15,253320
1138,3,3,2,15,160433
2599,3,1,8,16,374804
2550,5,1,7,1,381262
2308,1,3,4,11,300121
3221,2,2,2,27,310973
1509,3,1,8,29,246538
2023,2,2,5,25,269110
3313,4,3,6,5,438049
1912,1,3,7,5,302665
2091,4,1,10,29,341565
1288,4,3,1,28,151943
2361,4,4,8,21,363959
846,1,4,4,6,155717
1577,1,1,9,2,280959
1839,5,4,1,6,224159
1510,2,2,2,14,172393
1200,2,1,6,11,194517
2617,5,1,10,4,428402
1049,5,2,1,24,109666
1190,4,4,4,29,186413
1134,5,4,8,27,255334
1428,3,4,10,25,307459
936,2,1,5,9,165938
2321,5,1,9,24,361621
1626,3,4,6,3,296906
1526,3,3,1,26,172484
2300,3,4,6,16,319420
3441,3,2,6,11,419721
1789,4,1,6,27,249207
3219,3,2,8,4,437736
1734,4,2,6,1,272386
1201,4,1,5,25,170934
2266,3,3,2,21,241162
1414,2,4,4,22,220886
2096,3,2,10,16,346021
1982,3,1,5,19,250841
3467,3,2,10,16,485227
3035,2,4,4,11,357087
1921,1,3,2,26,211622
930,1,3,7,8,200276
1994,4,3,10,23,339301
982,4,1,10,1,271223
1163,2,1,2,26,129713
838,5,3,1,28,96002
3344,1,4,5,21,390316
2172,4,4,1,26,221688
1720,1,1,1,9,170613
815,2,3,1,28,94940
1292,2,4,6,27,230797
2249,5,4,9,12,399084
1931,5,4,10,22,370043
1110,2,1,1,8,122302
1538,4,3,5,26,230093
1345,1,2,9,17,254873
3261,3,3,9,10,453057
1050,5,3,1,27,128820
1558,3,1,8,7,290199
2604,4,4,1,19,297736
2097,5,4,8,25,342941
2431,3,1,1,6,258329
2714,4,1,5,21,327661
1613,1,1,8,24,254226
828,4,1,6,24,180158
1757,5,1,9,28,287612
2832,2,2,1,28,267387
1276,1,3,9,19,268031
1117,3,3,1,18,132663
1044,5,3,10,15,263147
1547,2,4,10,2,341185
1496,4,2,3,14,213845
1071,2,3,1,21,131963
2571,5,4,3,10,316665
2062,5,2,2,28,225438
3224,2,2,2,16,341823
1065,4,4,9,7,287948
1720,2,2,8,8,293115
1139,5,4,1,10,169320
1188,5,3,4,15,194160
3424,3,4,1,8,368803
2850,3,2,1,13,287790
1965,1,3,4,12,249703
1175,5,3,2,8,187049
2833,3,1,3,15,310715
3171,2,1,9,26,400929
945,4,2,2,12,140885
2781,2,4,4,11,347225
1092,4,4,1,19,130493
1231,3,2,2,14,168696
1504,1,3,5,27,214162
2798,2,2,10,18,410857
3432,2,2,1,13,329220
1198,2,3,7,4,244935
1763,4,4,4,17,255219
3034,3,2,6,19,369880
2841,2,4,8,27,401565
2628,2,2,6,9,341720
2908,1,3,2,23,297040
1738,1,3,1,7,204999
1509,3,1,8,1,279805
1606,3,3,8,7,307030
2263,5,1,9,26,339646
2125,1,2,6,7,289593
810,5,4,1,20,132177
1885,4,3,9,7,340037
2668,5,3,3,8,340048
3073,2,3,6,16,386201
3411,5,2,10,3,492765
1571,3,1,10,13,313383
2394,4,2,9,10,390785
2407,2,4,3,18,279607
2133,5,2,5,7,310552
1684,4,4,5,21,247643
2189,4,3,10,21,382951
1025,2,4,7,5,245230
1624,5,4,4,23,247047
3065,4,1,4,25,356049
1736,4,4,7,27,290307
3353,1,4,9,24,442324
3106,4,2,4,22,348346
2711,1,3,4,7,333576
2596,5,2,6,25,332125
853,5,2,6,27,179003
1526,5,3,7,22,261425
2344,3,3,1,17,245585
1843,5,4,3,4,260355
2713,4,4,9,24,420071
2576,2,1,6,23,305037
2396,1,2,6,16,322050
2714,3,3,5,19,333855
3266,5,4,3,10,380489
1649,5,3,5,3,286218
2909,2,4,1,27,303667
3063,2,1,3,3,346906
802,3,1,4,28,128882
959,1,3,5,17,157549
1580,5,1,10,10,331916
1692,3,3,9,17,308659
2830,4,4,4,22,346217
3176,4,2,3,17,353928
1379,3,1,10,21,274734
2733,5,4,1,4,314708
2180,3,2,10,21,348350
2090,5,2,6,23,288861
2440,2,2,7,6,350328
1751,3,4,10,12,336057
3482,5,4,8,25,459065
1787,3,3,1,22,207544
2018,3,2,4,25,253059
1720,5,2,5,20,255043
2155,5,2,2,17,260116
969,1,3,1,17,99205
1320,3,2,8,10,255055
2286,4,4,6,7,340954
839,3,2,5,29,140548
2360,3,1,9,16,350389
2218,5,4,2,29,246113
1754,3,3,10,13,339245
1783,3,2,8,3,316774
1774,4,1,10,2,351415
837,5,3,9,16,234151
3175,3,3,1,6,353365
2074,2,4,7,6,332493
1999,1,3,8,13,321003
2425,4,3,3,7,304371
1713,3,3,4,5,254243
1253,2,3,3,24,173260
836,3,2,7,7,209516
2511,3,2,9,2,390342
1595,5,2,3,17,224481
1772,5,2,6,13,284616
1392,5,1,8,25,254877
1937,2,2,6,21,264387
2124,3,3,2,28,243969
3071,1,2,7,27,384362
1117,4,2,2,21,144271
3196,5,4,2,28,356168
2962,5,3,2,16,334894
2146,3,2,1,26,212472
2391,3,2,1,20,235901
2689,2,2,7,2,379631
2887,2,1,5,5,357557
2796,5,2,3,18,326780
2572,3,4,1,28,257675
2112,1,3,10,7,351108
2085,4,3,6,11,320711
1015,3,2,1,25,107203
3183,3,2,9,25,425132
2939,2,2,2,11,319106
3200,4,3,1,22,319798
3418,5,3,7,17,437017
2504,3,1,6,16,330393
1162,5,4,6,13,244752
3404,3,1,5,22,376421
2516,5,4,4,5,353121
1993,4,1,4,20,249696
1155,2,3,3,16,160222
990,4,1,10,28,238134
3269,1,4,8,22,421195
1499,2,2,7,22,257006
2854,4,4,9,16,436781
2980,1,2,1,16,278469
1356,3,3,7,14,264577
1625,3,4,10,6,348938
1854,5,1,4,2,259145
3382,2,4,7,14,439197
1225,3,2,1,16,146214
3210,2,3,5,23,375067
2374,3,1,3,20,271425
2929,5,4,5,13,390891
3203,4,2,4,15,363361
1388,5,1,2,12,176614
2812,1,3,4,9,347959
2347,3,1,3,26,241500
1094,1,3,1,18,131730
2785,1,1,10,21,406419
2047,2,4,8,14,325318
2348,3,2,5,20,301339
2490,1,4,4,25,311720
1936,4,4,10,4,385652
2056,1,3,5,8,289260
2864,4,3,4,8,368510
1159,2,3,3,22,174600
1499,1,4,5,22,236425
1247,5,1,4,16,177797
3212,2,1,1,27,295983
1474,4,4,3,24,201674
1807,2,4,10,28,328767
2149,1,2,10,29,327705
3314,3,3,8,28,419740
3261,3,3,7,10,439187
1385,4,4,2,25,184696
2056,4,4,1,21,244403
2047,3,1,3,27,218476
1793,4,4,5,17,274590
2235,2,1,10,1,387021
1371,5,4,1,18,184719
3182,5,2,3,10,377851
2045,2,2,3,26,243446
2884,5,1,5,21,352578
1788,1,3,3,4,227304
1077,2,2,9,1,264029
2019,4,1,1,4,223220
2687,2,4,4,4,347691
1283,3,4,10,26,290490
2065,4,1,10,4,356636
1530,3,3,4,17,205763
3039,4,1,1,9,312663
1840,5,1,2,19,215665
3371,2,2,1,13,329689
1717,1,1,6,4,266443
3248,4,1,3,5,380483
1685,4,4,7,29,276905
821,3,2,5,13,180511
1273,5,4,9,23,286555
3057,3,4,7,16,412265
3153,3,3,4,22,353962
1503,5,3,5,5,262321
1486,1,2,5,8,216290
1084,3,2,5,16,197060
1515,3,3,10,1,332368
1562,4,3,9,23,296921
2050,5,3,10,28,351126
1747,2,3,3,6,223870
3228,1,3,6,11,401856
3307,1,4,8,16,442928
1830,5,2,9,5,335010
828,4,4,7,16,216274
1706,4,4,3,7,255766
2926,5,1,1,19,301445
3306,4,4,4,1,413992
1369,1,3,6,9,221568
2806,1,3,3,18,318563
2253,2,1,1,13,211966
1537,5,1,6,26,233082
1315,3,1,1,15,140160
2800,3,1,9,3,425650
3244,2,1,1,24,314445
838,2,4,6,28,166244
1686,4,1,1,10,179959
3004,2,4,7,9,420229
1898,2,2,3,13,241326
2623,3,1,6,16,327463
2510,4,1,7,3,348314
1773,2,4,1,22,185878
2362,2,2,1,23,229986
1788,4,4,5,15,280364
820,5,4,6,17,194967
3150,4,1,9,14,427198
1668,3,3,1,7,203004
883,5,3,4,20,178617
2482,1,4,10,16,399526
2776,4,1,8,21,369546
2210,3,2,10,8,372365
2330,5,3,9,4,408040
1369,4,2,3,20,184218
1733,2,3,2,24,194823
2780,4,1,4,15,336318
2655,1,4,2,5,297787
1592,4,2,1,13,187498
1591,5,2,3,6,228284
2609,5,4,7,28,379496
2094,4,2,1,27,197117
3339,5,3,2,5,394041
3055,2,4,1,17,318616
2407,4,3,8,7,377600
1883,2,3,5,6,270917
3277,2,1,8,2,433078
1784,3,3,3,11,221751
2480,4,1,7,7,361991
1319,5,2,8,22,244120
1390,2,2,6,21,212825
1850,3,1,7,8,282094
2509,4,3,2,5,304643
2835,4,4,8,27,394027
3046,1,4,5,18,367675
3234,1,1,7,22,393178
1148,2,2,1,16,119283
1759,1,2,5,14,231262
2763,2,4,1,12,304426
1492,5,1,8,17,271858
2359,2,4,4,5,307367
1177,1,3,4,14,190684
1326,5,3,2,6,192022
3053,1,1,5,15,341468
3302,2,1,1,7,329789
2059,3,3,9,14,352397
2675,4,2,5,18,336010
2563,1,1,6,1,336747
1320,2,3,2,6,171806
2501,5,3,10,3,431996
1816,1,2,10,5,343495
1813,1,2,1,12,202540
3348,4,2,4,11,406683
916,2,2,7,13,200553
3233,3,4,6,16,406631
2167,5,2,10,18,363459
1383,2,4,1,17,161714
1194,5,1,1,17,125107
1887,1,3,8,29,284910
871,4,4,4,11,189939
1073,4,1,5,20,191278
2813,3,1,7,10,387865
2143,4,4,8,29,345346
1137,1,1,10,16,255473
2189,3,1,7,2,330455
1406,2,4,2,17,168591
965,4,1,4,22,139129
2367,3,2,10,20,379546
2858,1,2,1,10,281904
2124,5,3,10,13,368914
1528,5,1,9,12,299523
2843,1,3,3,15,305520
901,1,2,3,7,142412
2215,5,2,10,27,368805
1578,3,2,9,22,287425
1013,5,1,10,21,242313
1911,1,1,3,26,196370
2376,4,2,8,28,331019
3248,2,3,2,13,343980
3435,4,3,3,12,385658
2495,4,4,2,12,292762
1391,1,2,1,28,124078
2133,5,3,2,2,259454
1909,3,2,8,5,317966
2939,4,3,9,25,412431
1513,5,4,2,25,186914
1735,3,4,7,2,322223
2751,4,2,5,23,346335
1041,3,3,3,26,149184
2843,5,1,9,20,415019
801,2,4,6,13,188838
3072,5,2,1,29,313281
2568,1,2,5,3,325900
2749,3,3,7,11,380926
3436,2,2,4,16,378723
2963,3,4,8,1,432957
1717,3,2,10,19,305545
3041,4,2,5,11,388467
889,1,1,9,9,214217
2509,3,1,9,14,376412
2969,5,4,9,9,445497
942,5,3,1,7,151922
905,4,1,2,16,122837
1686,1,3,3,3,226667
1227,1,4,4,29,170260
2128,5,1,10,19,366414
2695,2,3,9,4,406866
2794,4,1,10,7,421244
1116,4,4,6,23,216412
2786,5,4,1,28,297569
1434,5,1,9,12,296892
2725,2,3,6,18,355409
2856,2,2,4,28,304392
3070,1,2,4,5,366707
2239,4,1,3,23,246745
1352,4,3,7,23,246989
1515,5,2,3,22,186885
2087,1,4,2,26,215183
2513,4,3,10,10,427213
2683,1,2,8,12,363886
1907,1,3,4,8,258655
2141,5,1,8,19,329056
910,1,3,1,15,100077
1050,2,2,5,1,188170
3230,2,1,9,3,441301
2854,3,3,1,27,286019
1258,5,4,4,18,205752
1907,3,2,6,18,262056
1007,2,1,10,2,263052
1699,3,3,8,5,309816
821,5,4,3,29,137717
1209,5,2,5,1,236068
1694,1,4,7,10,277924
1314,4,3,1,20,163782
1608,1,3,7,10,258667
1673,5,1,8,5,292890
813,2,4,8,18,214228
1770,2,1,9,21,295000
2934,1,2,6,26,344476
2360,5,1,6,15,327452
2124,2,2,2,20,217011
2066,5,3,3,8,274191
2969,2,3,4,17,349422
1549,5,4,4,12,246150
1484,3,2,8,21,262259
2727,5,3,1,27,287467
3156,5,4,10,12,498523
1494,1,4,4,26,205236
3135,3,1,4,1,379323
1106,4,4,1,26,131323
2789,1,3,3,26,293108
1461,4,1,5,4,219108
1348,2,2,6,8,227611
1111,4,2,9,1,278929
1882,5,3,9,27,336304
2537,4,3,9,15,403007
1554,1,1,1,18,144953
834,1,1,9,1,211670
1244,4,3,8,11,268362
2940,1,3,2,23,289357
2782,1,2,1,2,276362
2030,4,2,1,1,243910
1152,3,2,6,12,202833
1702,3,3,9,16,318339
2155,2,4,7,22,333745
2548,1,3,5,22,302557
958,4,3,2,10,137520
2777,1,2,1,18,276776
1756,5,3,2,15,232328
2871,1,1,1,17,283582
1203,1,3,3,10,187685
1315,3,3,6,3,248726
2187,4,3,8,26,341975
3379,1,3,3,21,374741
1755,3,4,10,16,345137
2999,2,3,9,6,449103
2512,3,1,10,3,395154
1407,3,1,5,9,227775
3267,3,3,7,11,439542
2073,1,2,8,21,318851
2335,1,4,3,13,271674
3425,2,3,2,18,344417
3182,5,3,2,26,355816
2241,5,3,5,22,292677
2597,5,2,1,28,250845
1094,2,2,2,24,131037
1554,5,2,9,27,295399
2194,5,4,7,22,338110
985,3,1,6,4,184922
2069,1,4,9,22,322449
1436,1,2,7,24,239834
2091,3,1,5,8,275734
1329,3,1,9,13,256463
2868,3,2,6,10,387452
1593,1,2,6,2,249169
2947,5,4,4,8,378180
1277,3,2,1,6,147099
2422,2,1,5,16,308118
1739,3,3,9,18,306666
1325,4,2,8,17,258619
3181,3,2,8,6,428121
801,1,4,5,13,168917
1174,3,4,9,23,248189
3140,4,2,3,14,361235
1352,2,1,3,26,146429
3165,5,1,1,21,319038
2325,3,3,9,10,388622
2651,4,2,6,24,356551
1180,4,4,2,11,170060
2446,2,1,8,13,341357
813,1,3,9,12,227574
1303,3,2,9,9,284840
3078,4,1,2,4,334088
2808,2,2,2,7,292477
929,5,2,7,24,200946
1637,4,1,4,29,196408
2840,2,1,1,22,270054
827,1,1,8,2,211073
2913,1,2,2,7,304873
2052,4,2,3,29,247193
1060,4,3,5,9,201992
2846,3,4,3,5,358739
2272,2,2,7,15,312490
2247,4,4,7,18,353354
1259,3,1,2,4,171583
1100,3,2,7,19,205920
3134,4,3,6,20,403332
1429,1,3,10,26,271698
1069,2,4,9,7,273167
3439,2,1,9,26,425333
2793,1,4,2,8,325933
2428,4,1,7,17,342407
2601,2,3,5,13,347290
1661,4,4,6,24,275504
2080,4,3,1,21,235793
2980,3,3,7,28,372386
2599,1,1,6,23,303092
2506,4,4,4,11,318702
3360,5,4,1,27,342317
3160,1,3,9,1,465975
1375,2,3,4,2,225810
2803,3,1,2,17,300704
2107,2,2,8,5,320210
2756,2,2,2,6,303016
2820,1,3,5,26,323466
3012,2,2,6,25,372570
3152,4,2,8,24,420099
2455,2,2,1,7,264973
2379,3,2,1,28,226053
2647,3,3,4,21,306874
3003,5,2,5,15,369672
2190,3,2,9,19,332293
2542,2,1,7,16,342172
2725,3,3,7,25,364571
1419,1,4,8,13,259224
2074,3,4,5,5,301145
1756,4,1,5,3,268882
2739,1,1,1,3,274769
3181,5,3,9,19,450615
1768,4,4,6,14,294297
3358,2,2,9,16,439905
2116,2,1,3,22,232784
1843,2,4,5,17,262982
1081,4,3,2,27,154520
2966,4,2,10,4,462960
1858,4,3,5,13,267662
997,1,1,8,8,217936
3332,1,4,2,19,365984
1882,2,4,8,5,334266
1984,3,4,4,2,281631
1808,2,4,10,15,330925
2029,5,2,10,2,388618
1835,1,2,1,11,184088
1289,4,3,5,13,216756
1075,1,2,1,23,103602
3089,4,1,7,10,410392
2039,5,1,8,3,332911
2074,5,4,3,5,301595
925,1,1,3,3,129462
1016,4,3,7,6,225606
2008,5,2,4,13,260997
2046,2,2,3,10,252340
3342,2,2,8,19,424223
3274,4,1,3,8,374798
1718,1,2,7,18,263556
2117,5,4,2,3,285681
2998,1,4,1,24,310908
3231,2,4,6,24,415000
2461,5,1,8,17,354838
1107,1,2,1,8,129490
2159,3,1,10,10,371535
2769,4,2,9,2,429468
1691,4,3,3,12,215896
1174,3,3,3,23,169352
2833,2,1,4,6,323850
2164,5,4,1,2,283381
928,4,1,9,21,235859
1814,3,4,3,23,223622
2599,3,2,10,24,379777
2181,2,4,4,3,302079
1316,2,4,1,17,163932
2318,1,2,4,29,268846
885,4,3,1,7,136879
1998,1,2,5,29,247974
3158,3,1,5,21,376615
1942,5,1,7,5,322342
3274,5,1,8,23,441814
2793,2,1,4,1,348460
2961,5,1,7,8,401319
1102,5,3,4,12,201844
1387,5,3,3,14,204943
1786,3,4,6,16,279721
2663,5,1,4,10,323453
1144,5,2,3,15,169770
1613,5,1,9,21,299679
2787,1,3,5,24,325178
2110,3,1,7,26,294477
2799,2,3,6,15,366728
2477,1,4,10,10,412800
2127,4,4,5,21,287730
1892,3,4,7,28,305008
3208,3,3,6,7,403631
1809,4,1,10,26,313720
1503,4,1,2,3,206849
1374,4,2,3,2,220086
2408,2,3,2,6,284842
1912,5,2,3,21,248286
1487,3,4,1,9,196698
3432,5,1,8,10,466518
3436,5,3,6,4,443732
1288,4,2,2,27,140230
2147,2,2,8,3,337124
1293,1,2,6,9,228463
2467,2,1,7,24,309073
2437,5,1,1,22,238747
818,2,1,7,17,178373
3244,4,3,3,14,375138
1800,1,1,8,10,296882
1650,4,3,6,13,271365
2188,1,2,4,12,256712
2154,5,2,8,27,321922
2167,1,4,9,1,363724
1621,1,1,10,28,285824
1254,1,2,2,22,152433
2424,2,1,6,29,286318
1510,2,3,5,19,215695
2990,5,2,5,19,382014
1716,1,1,10,6,311129
3452,3,2,3,13,377939
2296,5,2,8,19,357058
2240,1,1,8,13,318746
1104,1,2,5,27,175792
1535,2,2,8,26,260052
3138,5,2,10,22,465729
2763,1,2,8,21,380316
2949,1,3,3,4,327691
2809,5,2,2,24,308462
1761,3,4,9,2,329291
1826,5,2,2,15,214049
2932,5,1,9,12,435549
3175,3,4,4,27,382179
2273,5,3,2,7,279684
3301,1,4,10,20,453899
2747,5,4,1,18,307685
3476,3,4,4,23,403115
1977,4,1,9,13,319464
1464,5,1,9,17,283345
811,2,1,4,4,162173
1956,1,3,9,25,328050
1103,1,1,6,14,194661
2563,2,1,1,20,253476
842,2,4,10,28,244040
1743,5,1,6,13,271781
3190,2,2,9,3,450420
2149,4,1,2,26,211456
3345,3,3,6,26,413481
3211,2,3,2,18,342138
1690,2,2,4,14,225534
3274,4,3,8,15,459504
1804,1,3,7,3,288485
820,1,4,9,1,239794
1206,5,2,7,26,235621
3466,4,4,1,24,360565
1814,3,4,2,17,234668
1135,3,1,6,3,204760
2638,4,2,7,14,377774
1947,3,1,3,3,237091
3246,1,1,9,13,447078
2627,3,4,7,15,367112
1514,3,3,6,18,233252
850,4,2,6,14,180995
1123,4,3,1,21,125389
1588,3,4,5,26,226140
940,2,4,10,3,271602
1269,4,4,3,19,191516
1586,5,4,7,8,308832
2625,5,4,10,4,453994
2157,1,4,3,4,288945
2716,3,3,5,19,346502
1763,2,1,7,11,272044
1172,1,3,3,1,172354
3341,3,2,10,8,489092
2492,4,3,2,15,297774
1979,5,4,6,1,338563
3138,2,3,8,7,447033
2471,5,1,4,21,302782
905,4,2,9,20,226534
2243,3,3,8,20,356627
2481,4,1,7,24,344916
801,4,3,7,11,210824
3436,5,2,3,27,370347
3491,2,3,6,29,408878
2937,4,4,5,14,378901
1149,5,3,1,22,152676
2086,2,1,3,16,246064
1862,3,3,1,14,211821
3006,3,1,4,12,351611
3159,1,2,10,17,440575
1244,5,3,3,14,189799
3145,2,2,4,10,358139
1751,4,2,9,24,295039
835,3,3,3,29,111885
1907,2,1,6,14,270861
2275,5,2,6,18,313913
2598,1,2,7,22,324881
2645,3,3,9,9,410711
2208,2,3,7,17,326704
1995,2,3,1,6,221671
2199,2,3,8,8,352250
2508,5,3,5,26,324668
2185,5,4,9,13,368455
3406,5,3,10,18,486358
2988,4,1,5,5,375824
2100,2,2,5,6,286473
2043,3,1,2,21,208405
1320,5,1,3,19,176936
2606,5,4,10,4,438041
809,2,3,9,7,242631
1783,5,2,7,4,312029
3225,4,1,1,25,310010
2456,4,3,3,11,298078
2460,5,3,2,12,289661
3431,2,4,1,14,362719
2999,2,4,9,13,440352
1519,2,4,8,29,281314
1872,1,2,5,10,268057
