Engine_CC,Mileage,Horsepower,Age,Brand,Fuel_Type,Transmission,Condition,Price
3188,9.2,176,9,Kia,CNG,Manual,8.0,997030
1350,21.4,175,7,BMW,Diesel,Manual,5.0,1138262
2435,19.6,296,16,Toyota,Petrol,Manual,6.0,1068607
2112,27.8,164,19,BMW,Petrol,Automatic,8.0,1189073
2557,12.8,318,7,Toyota,Diesel,Automatic,4.0,1583484
1156,18.6,105,6,Toyota,Petrol,Manual,4.0,607364
2870,21.0,275,18,Honda,Petrol,Manual,5.0,906263
2585,20.9,83,19,Hyundai,Petrol,Manual,8.0,808643
3369,19.2,94,11,Tata,Diesel,Automatic,7.0,1121655
2581,23.5,83,12,Tata,Diesel,Automatic,10.0,933902
3289,12.1,87,10,Audi,Petrol,Manual,10.0,1402119
2431,22.5,75,13,Tata,Petrol,Manual,4.0,603866
1815,20.4,118,12,Toyota,Diesel,Automatic,,699948
2148,25.9,302,10,Suzuki,CNG,Automatic,7.0,773059
1315,24.9,266,20,Hyundai,Petrol,Manual,7.0,387111
1135,14.3,330,18,Audi,Petrol,Automatic,10.0,1007625
2582,13.5,308,4,Tata,Diesel,Manual,6.0,988286
3105,27.6,326,5,Tata,Diesel,Manual,6.0,1227653
1296,18.5,252,5,Suzuki,Diesel,Manual,4.0,813921
1695,26.1,277,12,BMW,CNG,Manual,7.0,1123252
3007,11.3,174,3,Hyundai,Diesel,Manual,6.0,1299688
1651,20.9,127,8,Suzuki,Petrol,Manual,8.0,507083
2487,24.2,134,2,Tata,Diesel,Manual,8.0,603229
2731,26.9,162,18,Hyundai,Diesel,Manual,8.0,438299
3227,14.7,237,9,Hyundai,CNG,Manual,8.0,695519
2368,22.5,274,13,Tata,Petrol,Manual,7.0,850298
1756,18.8,98,7,BMW,Petrol,Automatic,8.0,1278679
2436,9.2,318,10,BMW,Diesel,Manual,7.0,1774161
2091,21.8,263,9,Tata,Petrol,Manual,10.0,1049141
2240,21.8,66,15,Hyundai,Petrol,Automatic,4.0,432335
1991,26.6,108,5,Suzuki,Diesel,Manual,4.0,711334
1866,17.9,85,12,Honda,Petrol,Manual,8.0,761609
1084,12.6,220,1,Toyota,Diesel,Manual,,782963
3244,8.9,235,12,BMW,Diesel,Automatic,8.0,2211058
811,16.3,138,6,Tata,Petrol,Automatic,4.0,523381
2430,14.0,61,19,Kia,CNG,Manual,6.0,390097
3346,23.2,191,19,Honda,Diesel,Manual,4.0,1160142
1553,15.1,335,16,BMW,Petrol,Manual,8.0,1330873
2882,27.0,176,19,Kia,Petrol,Automatic,6.0,871504
889,27.2,223,3,Hyundai,CNG,Manual,6.0,841562
1575,20.4,347,10,Tata,Petrol,Automatic,5.0,705853
3452,26.6,87,18,Honda,Petrol,Manual,10.0,1026444
2425,23.2,60,13,Tata,Petrol,Manual,7.0,496045
1217,18.9,247,18,Suzuki,Petrol,Automatic,10.0,532258
914,11.6,115,3,Suzuki,Petrol,Automatic,8.0,621475
1416,17.2,94,3,Audi,CNG,Manual,7.0,917285
1625,19.2,171,12,Toyota,Diesel,Manual,5.0,814475
2449,25.3,345,20,Toyota,Petrol,Manual,,838934
2316,17.6,95,7,BMW,Petrol,Manual,8.0,1238732
1212,26.0,276,8,Toyota,Diesel,Manual,5.0,902486
1528,21.5,139,9,Tata,Petrol,Manual,7.0,545642
1475,10.7,142,14,Tata,Diesel,Manual,4.0,456830
2692,27.9,124,5,Audi,Diesel,Manual,6.0,1470184
3304,18.5,187,19,Kia,Diesel,Manual,10.0,928432
3039,15.8,81,16,Suzuki,Petrol,Manual,5.0,607999
1922,21.2,275,12,Kia,Petrol,Manual,4.0,614552
2371,10.2,166,4,Kia,Petrol,Automatic,8.0,1094469
1777,20.7,168,8,Honda,Petrol,Manual,6.0,732874
1808,18.0,240,7,Honda,Petrol,Manual,10.0,849306
2943,16.1,223,15,Suzuki,CNG,Manual,5.0,369079
2487,27.1,127,6,Hyundai,Diesel,Manual,6.0,1008517
836,18.5,239,5,Suzuki,CNG,Manual,9.0,582037
2348,12.4,240,14,Honda,Diesel,Manual,9.0,1001329
3126,17.2,228,13,Kia,Petrol,Manual,,979790
3064,26.4,81,10,BMW,Diesel,Automatic,5.0,1518372
1672,11.5,125,18,Audi,Petrol,Automatic,7.0,759395
2621,12.3,80,4,Kia,Petrol,Manual,6.0,771837
2096,8.3,159,8,Suzuki,Petrol,Manual,9.0,733407
2909,8.3,162,11,Hyundai,Diesel,Manual,10.0,929074
1395,24.6,106,17,Kia,Diesel,Manual,9.0,764350
2703,22.6,98,18,BMW,Petrol,Manual,,689903
1528,15.1,344,11,Suzuki,Petrol,Manual,9.0,883517
2165,22.0,149,16,BMW,Petrol,Manual,10.0,1301273
1196,15.9,144,12,Kia,Petrol,Automatic,4.0,620251
1498,27.1,332,13,Suzuki,Petrol,Manual,9.0,200000
3024,27.3,247,16,BMW,Diesel,Manual,,1728726
2435,15.9,218,1,Tata,Diesel,Automatic,8.0,966847
1195,25.1,302,16,Toyota,Petrol,Manual,4.0,519441
3292,23.5,132,15,BMW,Diesel,Manual,7.0,1425533
875,14.2,108,6,Tata,Petrol,Manual,5.0,558247
1064,12.6,160,12,Kia,CNG,Manual,,580456
3302,17.2,61,8,Toyota,Petrol,Manual,9.0,1041910
2619,23.6,303,7,Honda,Diesel,Manual,10.0,1348011
1517,27.2,235,2,Toyota,CNG,Manual,7.0,825424
1650,23.3,297,12,BMW,Diesel,Manual,7.0,1474029
2190,25.1,118,14,Audi,Petrol,Automatic,4.0,899222
943,20.1,158,16,Audi,Diesel,Manual,,744759
1684,24.7,61,11,Honda,Petrol,Manual,5.0,712228
1195,23.7,302,20,BMW,Petrol,Automatic,8.0,1289231
2292,15.5,270,9,Toyota,Petrol,Manual,7.0,1007588
1967,19.0,182,10,Audi,CNG,Manual,8.0,1010881
3416,24.1,288,17,Suzuki,CNG,Manual,5.0,786412
1862,8.9,141,12,Hyundai,Petrol,Manual,5.0,435642
2956,24.2,203,6,BMW,Petrol,Manual,4.0,1644839
1865,11.6,199,19,Tata,CNG,Manual,10.0,491995
2009,18.3,88,11,Tata,Petrol,Automatic,6.0,893191
3245,24.2,329,9,Suzuki,Petrol,Manual,10.0,702833
1433,13.1,306,6,Suzuki,Petrol,Manual,9.0,1010799
1956,12.9,71,16,BMW,Diesel,Manual,4.0,844838
2038,16.1,165,20,Hyundai,Petrol,Manual,10.0,570463
1532,25.9,91,16,Audi,Diesel,Manual,8.0,950556
1034,8.0,133,6,Hyundai,Petrol,Manual,10.0,594192
1550,26.0,230,5,Honda,Petrol,Manual,4.0,783800
3435,11.1,128,4,Toyota,Petrol,Manual,5.0,855211
1753,27.8,196,2,Toyota,Petrol,Automatic,7.0,897049
3339,27.1,159,6,Suzuki,Petrol,Automatic,9.0,1039029
2342,17.9,205,9,Audi,Petrol,Manual,9.0,1241918
1997,18.3,68,17,Hyundai,Diesel,Automatic,6.0,520856
2476,17.6,121,14,Suzuki,Petrol,Manual,5.0,337789
1991,20.7,244,7,BMW,Diesel,Automatic,9.0,1809242
3017,9.8,88,19,Suzuki,CNG,Manual,9.0,724487
2216,8.7,173,1,BMW,Diesel,Manual,7.0,1563970
3481,9.2,202,20,BMW,CNG,Automatic,8.0,1313065
2017,16.9,179,15,Honda,Petrol,Manual,8.0,765996
2340,13.5,229,18,Honda,Petrol,Automatic,8.0,838721
2876,20.4,216,3,BMW,CNG,Manual,4.0,1746409
2245,27.8,319,18,Kia,Diesel,Manual,8.0,778290
3186,15.7,141,2,Audi,Diesel,Manual,8.0,1819807
2319,19.5,301,10,Honda,Diesel,Automatic,4.0,1259293
2188,16.3,231,11,Honda,Diesel,Manual,7.0,1078847
2656,24.9,290,3,Toyota,Petrol,Manual,5.0,1049490
2165,26.0,267,7,Suzuki,Diesel,Automatic,9.0,959950
1299,25.5,134,8,Toyota,Petrol,Automatic,6.0,1036456
2480,27.5,329,19,Audi,Petrol,Automatic,,1414238
1310,8.6,173,18,Honda,Petrol,Manual,8.0,520591
1016,24.8,121,13,Tata,Petrol,Automatic,8.0,449722
2124,23.0,161,13,Kia,Petrol,Automatic,10.0,553086
1955,12.6,269,19,Honda,Diesel,Automatic,9.0,1094287
2627,27.1,314,12,Hyundai,Diesel,Manual,9.0,666372
2610,11.0,79,17,Audi,Diesel,Manual,10.0,1205104
3292,21.6,117,12,Tata,Petrol,Manual,8.0,716768
2005,12.5,171,13,Suzuki,CNG,Manual,4.0,809966
3014,16.6,255,12,Suzuki,Petrol,Manual,4.0,432994
890,22.4,151,19,Tata,Diesel,Manual,4.0,220552
1513,19.3,111,14,Suzuki,Petrol,Manual,6.0,429324
2681,16.6,67,7,Kia,Petrol,Manual,5.0,661390
838,14.5,157,13,Tata,Petrol,Manual,8.0,404832
972,24.8,295,6,Audi,Diesel,Manual,,1332830
1452,10.9,128,19,Tata,Petrol,Automatic,9.0,352060
1553,16.6,104,19,Tata,Petrol,Manual,9.0,514575
2043,26.1,196,4,Hyundai,Petrol,Manual,8.0,510582
1881,24.9,293,19,Hyundai,Petrol,Manual,8.0,680388
2483,16.0,91,9,Toyota,Diesel,Manual,8.0,777226
3323,23.3,348,16,Audi,Petrol,Automatic,9.0,1979410
1255,24.5,185,4,Audi,Petrol,Manual,10.0,1547391
1628,25.8,126,6,Hyundai,Petrol,Manual,8.0,666715
1694,18.9,89,8,BMW,Petrol,Manual,9.0,1385862
2184,12.1,173,16,BMW,Petrol,Automatic,5.0,1160282
2758,13.1,263,5,Toyota,Diesel,Manual,7.0,978941
3234,13.9,88,10,Kia,Petrol,Manual,4.0,972415
2796,19.9,190,13,BMW,Petrol,Manual,10.0,1538942
3195,8.7,244,14,BMW,Petrol,Manual,7.0,1500515
989,20.7,312,7,BMW,Petrol,Manual,8.0,1438550
1304,15.3,345,20,Kia,Petrol,Manual,7.0,634962
2014,13.9,121,6,Honda,Petrol,Manual,,806726
2331,25.6,62,7,Toyota,Petrol,Manual,7.0,549606
1623,17.2,127,5,Hyundai,Petrol,Manual,6.0,654267
1728,9.9,84,18,BMW,Diesel,Manual,7.0,1021336
1733,24.5,238,12,Suzuki,Diesel,Manual,4.0,590543
1940,9.0,200,6,Tata,Diesel,Manual,4.0,874477
933,22.5,290,1,Honda,Petrol,Manual,10.0,1031264
2905,23.5,222,4,Kia,Diesel,Automatic,7.0,1036443
1484,15.1,189,19,Kia,CNG,Manual,9.0,293281
3020,24.5,305,12,Kia,Diesel,Manual,,947888
2652,18.3,231,15,BMW,Petrol,Manual,9.0,1321567
1614,17.3,123,3,Tata,Petrol,Manual,7.0,722506
1972,8.9,90,20,Tata,Petrol,Manual,9.0,379809
879,13.8,106,8,Honda,Petrol,Manual,,519928
1002,26.6,189,11,Toyota,Petrol,Manual,7.0,776314
2052,15.8,169,16,Kia,Diesel,Automatic,4.0,708543
2499,18.9,128,9,Suzuki,Diesel,Manual,,614152
2050,18.6,117,3,Suzuki,Petrol,Manual,,681516
2482,19.8,165,5,Suzuki,Petrol,Automatic,6.0,1028564
2355,9.2,315,20,Kia,Petrol,Manual,9.0,783068
2894,15.2,230,14,BMW,Petrol,Automatic,4.0,1584890
2056,22.5,221,15,Honda,Petrol,Manual,5.0,595875
2349,12.0,345,6,Kia,Petrol,Manual,7.0,1084842
1966,12.1,130,4,Suzuki,Petrol,Manual,9.0,1052298
2196,8.2,314,8,Tata,CNG,Automatic,6.0,706836
1270,16.7,114,19,Kia,Petrol,Automatic,10.0,373853
1835,25.7,62,5,Tata,Petrol,Manual,4.0,587733
2153,9.0,85,13,Audi,Petrol,Manual,10.0,1246287
1767,11.8,185,16,Kia,Petrol,Manual,10.0,629431
1157,14.2,112,1,Audi,Petrol,Manual,6.0,956097
1467,22.6,257,13,Honda,Diesel,Automatic,8.0,950160
1172,20.8,247,11,Kia,Petrol,Manual,4.0,661553
1831,16.3,245,8,BMW,Petrol,Manual,,1300771
1945,23.2,263,8,BMW,Diesel,Automatic,,1869880
2171,20.2,70,14,Toyota,Petrol,Automatic,7.0,889962
889,25.9,205,13,Toyota,Petrol,Manual,7.0,620937
1339,24.4,144,3,Suzuki,Petrol,Manual,7.0,614719
1668,13.1,159,4,Hyundai,Diesel,Automatic,10.0,1173466
840,13.4,163,20,Tata,Petrol,Manual,8.0,264409
1539,10.5,105,15,Toyota,Petrol,Manual,10.0,480966
2746,14.7,103,15,BMW,Diesel,Manual,7.0,1244182
3349,28.0,337,13,Tata,Petrol,Automatic,10.0,1009409
2024,16.1,240,9,Hyundai,Petrol,Manual,5.0,636370
1728,12.4,246,10,Toyota,Petrol,Manual,4.0,997226
2836,23.2,173,12,Honda,Diesel,Manual,4.0,1206390
3308,18.8,314,14,Audi,Diesel,Automatic,10.0,2006607
1724,11.0,89,1,Toyota,CNG,Automatic,6.0,818199
2381,15.6,323,14,Kia,CNG,Automatic,9.0,836379
1189,16.3,157,14,Toyota,Diesel,Manual,8.0,818472
2417,23.1,174,8,Kia,Diesel,Automatic,4.0,1089809
1055,8.4,335,16,Honda,Diesel,Automatic,10.0,721767
1508,13.4,340,14,BMW,Petrol,Automatic,8.0,1572689
2638,18.4,334,1,Suzuki,Petrol,Automatic,6.0,847836
2744,13.4,320,16,Honda,Petrol,Manual,,1192457
3297,20.6,266,18,Suzuki,Petrol,Manual,,783463
809,17.6,270,7,Toyota,Diesel,Automatic,6.0,778579
1597,15.2,274,15,BMW,Petrol,Automatic,5.0,1220788
1676,27.0,99,17,Hyundai,Petrol,Manual,7.0,461514
1828,20.6,85,19,Toyota,Petrol,Manual,7.0,585932
1815,10.6,86,13,Honda,Diesel,Manual,,858741
2624,19.2,249,9,Hyundai,Diesel,Manual,6.0,773113
1173,23.6,142,15,Audi,Petrol,Manual,5.0,1034965
2993,22.2,229,3,Hyundai,Petrol,Automatic,9.0,1442629
1023,11.4,226,1,Honda,Petrol,Manual,8.0,756340
2062,27.4,247,16,Tata,Petrol,Manual,6.0,619243
3024,17.0,228,8,Hyundai,Petrol,Manual,4.0,1123690
2602,11.2,348,13,Honda,Diesel,Manual,4.0,1195723
1652,11.6,288,8,Tata,Petrol,Manual,6.0,663736
862,10.0,156,17,Toyota,Petrol,Manual,8.0,625114
2040,24.1,75,14,Tata,Petrol,Manual,4.0,916742
1488,10.4,338,7,BMW,Petrol,Manual,8.0,1505741
2284,10.5,194,15,Audi,Petrol,Manual,,1040753
2433,25.0,85,16,Tata,Petrol,Manual,,573499
2952,14.9,71,19,BMW,Petrol,Manual,7.0,1094644
1310,8.6,131,6,BMW,Diesel,Manual,4.0,1063185
1184,9.0,192,1,BMW,Petrol,Automatic,8.0,1650166
1204,10.8,165,12,Tata,Petrol,Manual,7.0,343915
1317,12.3,279,18,Honda,Petrol,Automatic,4.0,580053
1275,21.3,236,16,Kia,Diesel,Manual,10.0,795901
2800,11.1,341,12,Honda,Petrol,Automatic,5.0,863869
2468,10.4,192,20,Audi,Diesel,Manual,7.0,1282832
2693,23.3,81,13,Honda,CNG,Manual,5.0,329873
2260,21.4,328,8,Suzuki,Petrol,Manual,,525011
1513,16.7,220,1,Honda,Diesel,Manual,9.0,991813
882,19.0,166,7,Honda,Diesel,Manual,4.0,717451
1968,14.2,338,15,Honda,Petrol,Manual,6.0,1030768
3304,17.7,294,13,Toyota,Diesel,Automatic,8.0,1284412
2701,18.1,77,13,Audi,Petrol,Manual,10.0,1171155
2848,15.7,301,9,Suzuki,Petrol,Manual,4.0,850776
850,26.1,176,15,Honda,Diesel,Manual,9.0,519258
1484,8.3,345,4,Kia,Diesel,Automatic,9.0,1158058
1516,23.6,341,13,Audi,CNG,Manual,10.0,1008770
2269,10.5,203,12,Hyundai,Petrol,Manual,7.0,766740
1248,24.0,264,5,Toyota,Petrol,Manual,,797780
1680,20.3,98,7,Tata,Petrol,Manual,9.0,519517
1287,24.9,213,8,Kia,Petrol,Automatic,6.0,762354
2623,10.0,235,5,Honda,Petrol,Automatic,4.0,1123785
2881,19.2,300,9,Kia,Petrol,Manual,6.0,1066438
2942,18.0,193,14,Suzuki,Petrol,Manual,7.0,440850
2374,22.1,105,12,Toyota,Petrol,Manual,4.0,634105
3001,18.7,109,4,Suzuki,Petrol,Manual,7.0,648233
1049,18.8,225,20,Tata,CNG,Manual,8.0,545549
1473,16.6,165,8,Tata,Diesel,Manual,8.0,812672
1237,14.2,275,17,Kia,Petrol,Manual,6.0,631521
2965,17.6,205,8,Toyota,Diesel,Automatic,6.0,1063285
1570,10.4,131,1,Hyundai,Diesel,Manual,8.0,1012930
1067,27.2,332,20,Kia,Diesel,Automatic,5.0,414415
2784,22.3,306,2,Audi,Petrol,Automatic,8.0,1746960
1877,27.0,245,4,Toyota,Petrol,Automatic,10.0,917695
1035,12.5,129,1,BMW,Diesel,Manual,,1331775
1188,25.6,209,7,Tata,Petrol,Automatic,10.0,888923
1562,24.2,305,1,Hyundai,CNG,Automatic,7.0,502697
2648,21.5,321,9,Kia,Diesel,Manual,8.0,1208002
3248,20.5,85,3,Tata,CNG,Manual,8.0,781907
1423,14.3,199,12,BMW,Petrol,Manual,9.0,938092
2052,24.3,158,19,Hyundai,Petrol,Automatic,7.0,672613
1377,18.0,337,15,Tata,Petrol,Automatic,9.0,939379
2922,9.4,110,16,BMW,CNG,Automatic,,1324973
1234,14.3,210,10,BMW,Petrol,Automatic,10.0,1588876
2950,26.7,163,6,Tata,Petrol,Manual,4.0,545610
1563,25.0,148,17,Kia,Petrol,Manual,7.0,445359
2129,27.6,200,17,Tata,Petrol,Manual,6.0,427192
2945,20.6,272,19,Suzuki,Petrol,Manual,8.0,945867
2158,13.0,292,18,Toyota,Petrol,Manual,7.0,849470
3282,11.3,242,11,Toyota,Diesel,Automatic,4.0,1576138
1246,11.7,310,7,Hyundai,Petrol,Automatic,7.0,842330
2817,8.4,68,10,Audi,Diesel,Manual,8.0,1251237
2131,15.8,138,7,Tata,Diesel,Manual,5.0,691495
1048,11.8,111,5,Kia,Diesel,Manual,7.0,869679
965,16.2,328,12,Suzuki,Diesel,Manual,6.0,577791
2158,26.7,285,16,Toyota,Petrol,Manual,8.0,813536
1819,16.6,110,18,Toyota,Petrol,Manual,4.0,495181
1341,25.6,245,3,Kia,Diesel,Automatic,10.0,1053496
1558,20.1,93,20,Suzuki,Petrol,Automatic,10.0,399261
2928,12.9,350,15,Honda,Petrol,Automatic,8.0,1154989
2980,15.1,289,5,Suzuki,Petrol,Manual,9.0,886709
1596,9.7,190,13,Kia,Diesel,Manual,5.0,628802
937,14.7,179,19,Toyota,Petrol,Manual,4.0,551046
3031,21.6,306,12,Audi,Petrol,Automatic,,1997631
2153,9.4,251,5,Honda,Petrol,Automatic,10.0,1075373
2675,12.1,269,6,Kia,CNG,Manual,5.0,723435
868,15.6,162,7,Kia,Petrol,Automatic,6.0,531702
3393,27.6,192,10,BMW,Diesel,Manual,10.0,1861466
2900,23.7,198,16,Suzuki,Petrol,Manual,7.0,570442
2273,22.7,180,8,BMW,Diesel,Automatic,6.0,1708221
1004,10.3,153,9,Honda,Petrol,Automatic,6.0,895206
2973,23.6,188,4,Honda,Diesel,Manual,,765140
842,23.7,150,8,Honda,Petrol,Manual,6.0,692685
2706,20.0,151,7,Hyundai,Petrol,Manual,4.0,707467
2958,27.8,122,15,Suzuki,Diesel,Manual,7.0,744896
1560,14.5,88,3,Kia,Diesel,Automatic,7.0,718582
2942,26.8,269,17,Tata,Diesel,Manual,10.0,1045576
2794,26.3,71,11,Audi,Diesel,Manual,4.0,1301871
2735,8.2,189,9,Audi,Petrol,Manual,6.0,1427062
1699,17.0,232,5,Kia,CNG,Automatic,6.0,900388
1159,27.5,267,10,BMW,Petrol,Automatic,5.0,1167272
2519,10.1,83,15,Kia,Diesel,Automatic,10.0,751608
1080,19.0,158,14,BMW,Petrol,Manual,10.0,1130765
2687,27.6,198,4,Tata,Petrol,Automatic,5.0,798214
1466,19.1,233,20,BMW,Petrol,Manual,9.0,1228031
892,11.8,88,2,Suzuki,Petrol,Manual,8.0,518947
1471,19.6,202,12,Toyota,Petrol,Automatic,,856193
2769,12.1,101,1,BMW,Petrol,Manual,7.0,1864741
860,18.4,267,20,Honda,Petrol,Manual,4.0,373156
3481,9.5,251,5,BMW,Petrol,Manual,6.0,1788300
1828,20.1,219,6,Honda,Petrol,Manual,8.0,1059163
2289,18.3,123,11,Hyundai,Petrol,Manual,5.0,802018
1403,22.8,302,8,Toyota,Petrol,Automatic,10.0,972391
1481,20.6,317,7,Toyota,Petrol,Manual,8.0,808012
3381,19.0,211,4,Tata,Diesel,Manual,4.0,920180
2228,21.8,274,6,Suzuki,CNG,Automatic,4.0,957404
3492,10.9,225,16,Kia,Petrol,Automatic,10.0,973112
3080,19.9,90,20,Suzuki,Diesel,Manual,8.0,626160
1323,11.4,291,15,Audi,Diesel,Manual,8.0,1151220
3193,26.5,341,14,Hyundai,Petrol,Manual,9.0,1094627
3393,9.4,88,12,Tata,Diesel,Manual,8.0,840372
2768,16.6,254,12,Suzuki,Petrol,Manual,6.0,565938
1901,21.9,315,16,Honda,Petrol,Manual,7.0,657571
2553,17.2,340,15,Hyundai,Petrol,Manual,5.0,512657
2636,9.8,146,13,Toyota,Petrol,Manual,10.0,713743
3096,19.1,208,11,Kia,Diesel,Manual,5.0,990698
2894,20.8,308,17,Kia,Petrol,Manual,5.0,955844
1944,22.1,342,15,Honda,Petrol,Manual,8.0,976638
3061,15.5,257,14,Tata,Petrol,Manual,10.0,923156
3086,19.3,103,10,Tata,Diesel,Manual,8.0,798284
1879,17.0,87,12,Hyundai,Diesel,Manual,,781032
3197,21.4,76,16,Toyota,Diesel,Manual,8.0,869057
906,19.7,186,15,Suzuki,Petrol,Automatic,9.0,820945
847,18.5,227,10,Honda,Petrol,Manual,9.0,713171
1136,13.0,303,4,Honda,Petrol,Manual,6.0,1076854
1849,8.0,135,9,Toyota,Petrol,Manual,6.0,834985
2080,11.5,290,20,Honda,Petrol,Manual,6.0,828893
2855,10.3,263,9,Kia,Petrol,Automatic,6.0,689403
1424,17.0,307,20,Suzuki,Petrol,Manual,4.0,604660
2690,20.2,273,11,Suzuki,CNG,Manual,6.0,641104
2076,12.3,274,11,Suzuki,Diesel,Manual,6.0,672119
2515,26.8,217,7,Toyota,Petrol,Automatic,6.0,797153
1102,8.1,128,10,BMW,Petrol,Automatic,,1136813
1438,23.4,144,4,BMW,Petrol,Manual,5.0,1166140
855,20.5,326,5,Tata,Diesel,Manual,10.0,648021
1525,15.5,128,5,Tata,Diesel,Automatic,5.0,538093
1325,9.0,158,11,Kia,CNG,Automatic,5.0,636964
1273,20.5,275,9,Honda,Petrol,Manual,7.0,931742
827,15.7,220,16,Suzuki,Diesel,Manual,4.0,460568
2925,26.7,153,9,Honda,Petrol,Manual,9.0,1131782
1164,18.8,233,4,Toyota,Diesel,Manual,8.0,889315
1325,26.8,224,2,Honda,Diesel,Manual,9.0,1008654
2135,12.4,174,14,Audi,Diesel,Manual,6.0,1037179
1682,22.5,279,3,BMW,Petrol,Automatic,5.0,1417389
1830,20.3,90,18,Honda,Diesel,Manual,9.0,936568
1826,22.8,70,6,Honda,Petrol,Automatic,4.0,940342
2446,12.3,189,11,Hyundai,Petrol,Manual,6.0,549821
1718,21.3,164,18,Kia,Petrol,Automatic,7.0,627929
3210,18.0,86,12,Honda,Petrol,Manual,8.0,852093
2574,22.9,286,5,Audi,Petrol,Manual,6.0,1489292
2331,14.5,61,9,BMW,Petrol,Manual,10.0,1226133
2706,25.8,160,20,Hyundai,Petrol,Manual,8.0,717451
2015,9.7,80,18,Kia,Petrol,Automatic,9.0,743668
2454,24.1,117,19,Toyota,Petrol,Manual,6.0,654391
1284,25.2,239,3,Tata,Petrol,Manual,,700768
2875,24.3,79,9,Toyota,Petrol,Manual,9.0,823470
1513,18.3,314,4,BMW,Petrol,Automatic,4.0,1739824
1862,16.8,97,17,Tata,Petrol,Manual,8.0,569824
2776,27.9,207,17,Toyota,Diesel,Manual,8.0,880615
2096,12.6,84,2,Kia,Petrol,Manual,4.0,686034
2054,18.9,180,9,Audi,Diesel,Manual,,1388896
2933,21.4,85,9,Honda,Petrol,Automatic,8.0,939159
925,22.0,228,5,BMW,CNG,Manual,9.0,1283798
1336,12.1,284,15,Tata,Petrol,Manual,5.0,394817
2992,21.1,60,15,Hyundai,Petrol,Manual,10.0,673796
2872,24.4,320,3,Honda,Petrol,Manual,4.0,1186971
2403,9.0,72,19,Toyota,Petrol,Manual,7.0,408073
866,26.2,107,3,Toyota,Diesel,Manual,10.0,563156
1032,8.6,350,6,Hyundai,Petrol,Manual,6.0,805928
2956,15.1,153,4,Audi,Petrol,Manual,6.0,1205100
1969,8.3,320,13,Kia,Diesel,Manual,4.0,577522
2958,9.5,337,13,Kia,Petrol,Manual,5.0,967299
3075,26.2,264,11,Hyundai,Petrol,Manual,9.0,925937
910,15.1,244,5,BMW,Petrol,Automatic,7.0,1622882
2293,16.5,234,1,Hyundai,Petrol,Automatic,6.0,891670
2881,12.3,128,9,Toyota,CNG,Manual,6.0,734317
1422,19.9,163,17,Audi,Diesel,Manual,9.0,1079255
3442,19.9,305,1,Audi,Diesel,Manual,5.0,1808661
3272,15.4,220,3,Suzuki,CNG,Automatic,8.0,1090865
3460,14.7,259,15,Hyundai,Petrol,Automatic,10.0,1186354
2341,25.7,275,10,BMW,Petrol,Manual,4.0,1103332
2105,15.7,271,8,Toyota,Petrol,Manual,5.0,841943
2561,17.9,75,12,Honda,Diesel,Manual,5.0,826216
2775,13.7,264,15,Kia,Diesel,Manual,5.0,726976
3162,23.7,98,9,Kia,Petrol,Automatic,5.0,629008
1676,15.9,148,10,Kia,Petrol,Manual,,672338
2789,18.3,315,20,Audi,CNG,Automatic,9.0,1715585
2112,13.1,313,9,Kia,Petrol,Manual,7.0,773242
2260,27.8,275,15,Hyundai,Diesel,Manual,10.0,1137787
3124,13.8,231,1,Suzuki,Petrol,Manual,5.0,757258
2533,23.4,196,2,BMW,Petrol,Manual,10.0,1738839
2405,16.5,237,19,BMW,Petrol,Automatic,5.0,1386604
2326,12.1,136,14,Tata,Diesel,Manual,4.0,605747
3471,24.0,247,8,Kia,Petrol,Manual,6.0,886459
3363,14.7,74,6,Toyota,Petrol,Manual,8.0,1048770
3197,25.3,273,12,Audi,Diesel,Manual,5.0,1851507
2430,26.3,267,15,Toyota,Diesel,Manual,7.0,935708
1960,25.2,228,14,Kia,Diesel,Automatic,7.0,762550
1558,8.7,339,1,Suzuki,Petrol,Manual,7.0,788566
1042,23.7,205,11,Honda,Diesel,Manual,4.0,1037261
3390,16.2,322,3,Kia,Petrol,Automatic,7.0,1262581
1863,25.5,63,19,Honda,Petrol,Manual,9.0,468829
1028,20.8,149,18,Honda,Petrol,Manual,4.0,255073
3395,24.7,119,20,BMW,Petrol,Manual,8.0,948764
1719,18.0,75,2,Audi,Diesel,Manual,7.0,1356581
2046,18.7,286,7,Kia,Petrol,Automatic,6.0,1028511
805,10.9,88,8,Toyota,Petrol,Manual,,502100
1267,23.7,210,19,Toyota,Diesel,Manual,8.0,617504
2555,16.4,304,15,Suzuki,Diesel,Manual,,602174
874,18.0,329,10,Honda,Diesel,Manual,6.0,852410
803,23.7,138,1,Audi,Petrol,Manual,8.0,1209371
2670,20.0,348,6,Audi,Diesel,Manual,,1729511
1445,12.0,212,13,Suzuki,Petrol,Automatic,7.0,885952
917,19.8,336,14,Hyundai,CNG,Manual,8.0,486737
2429,16.2,338,3,Audi,Petrol,Manual,8.0,1738747
3351,17.4,116,11,Audi,Diesel,Manual,8.0,1642358
2821,8.6,245,3,Toyota,Petrol,Manual,4.0,972048
1746,12.2,152,19,Suzuki,Petrol,Manual,6.0,411846
3421,13.6,335,10,Kia,Petrol,Manual,10.0,836390
2264,22.3,217,15,Audi,Petrol,Manual,9.0,1424422
