age,monthly_charges,total_usage_gb,tenure_months,support_calls,late_payments,gender,contract_type,payment_method,internet_type,region,customer_segment,churn
,3234.815576954866,,,14.0,,Male,Yearly,Credit Card,DSL,East,,
57.0,2807.098299574289,,,13.0,8.0,Female,Yearly,,,West,Standard,Yes
18.0,1538.014152729914,445.59803241598513,22.0,,9.0,Male,,UPI,Fiber,West,Premium,Yes
,1294.3761440247872,176.2093430652394,13.0,8.0,9.0,Male,Monthly,Net Banking,DSL,West,,No
,1492.1879408157893,81.45757487554528,,2.0,,,Quarterly,UPI,DSL,East,,Yes
42.0,,17.596641153346685,48.0,5.0,,,Quarterly,Credit Card,Mobile,South,Basic,Yes
67.0,4008.13013105039,324.6820812118097,18.0,9.0,2.0,Female,Yearly,,Mobile,East,Standard,Yes
,2075.5636662502857,320.2666471400979,,,2.0,Female,Monthly,,Mobile,West,Standard,Yes
,760.2920445352836,173.59906245773936,76.0,14.0,0.0,Male,Quarterly,Debit Card,Mobile,West,,Yes
47.0,4860.961835633651,,,4.0,6.0,Female,Quarterly,UPI,Mobile,South,Standard,Yes
59.0,4477.036482335416,207.76630297313986,17.0,5.0,3.0,Male,Yearly,Debit Card,Fiber,North,,Yes
52.0,,159.05266005637984,15.0,3.0,9.0,Male,Yearly,,Mobile,North,Standard,
24.0,,340.1747166688296,106.0,9.0,1.0,Male,Quarterly,Debit Card,,East,,Yes
33.0,,,15.0,5.0,,Male,Quarterly,Debit Card,,North,,No
,2283.0890850619644,,79.0,6.0,4.0,Male,Monthly,,Fiber,North,Standard,Yes
,3912.073140668411,112.8568143562201,63.0,8.0,5.0,,Quarterly,Credit Card,Mobile,East,Basic,
,3632.092781242065,494.077803247018,119.0,9.0,8.0,,Quarterly,UPI,Mobile,,Basic,
66.0,1192.5315785293478,229.73080249207686,39.0,6.0,3.0,Male,Yearly,Debit Card,Mobile,,,No
19.0,4171.24906245778,345.69574671121734,13.0,,1.0,Female,Quarterly,Net Banking,DSL,,Premium,Yes
18.0,1509.9825732649729,74.57371895128858,81.0,,4.0,Male,Yearly,Net Banking,DSL,East,Premium,No
,1507.179266701804,245.36690133140192,32.0,1.0,2.0,Female,Quarterly,Credit Card,DSL,,Standard,No
29.0,2916.384903020361,,9.0,0.0,1.0,Female,Quarterly,Credit Card,Mobile,,Premium,No
22.0,3168.2297067876643,255.20028336567273,40.0,8.0,0.0,Female,Quarterly,,DSL,East,,Yes
54.0,3110.38793527015,482.1886165232627,20.0,9.0,,,Monthly,Credit Card,Mobile,West,Standard,No
,911.6907682898969,195.18232292797111,90.0,9.0,1.0,Male,Yearly,Net Banking,Fiber,North,,Yes
26.0,4448.573881836712,24.303026224581235,91.0,8.0,5.0,Male,Monthly,UPI,Mobile,North,Standard,No
,,20.32311650507505,85.0,6.0,7.0,Male,,UPI,DSL,North,Standard,
52.0,,197.0534461737004,,12.0,2.0,Male,Monthly,Debit Card,,North,Basic,Yes
36.0,4499.366359410397,,77.0,1.0,8.0,Female,Yearly,,Mobile,,,Yes
,4800.43174203389,16.559287682452027,80.0,,8.0,Female,Quarterly,,Fiber,North,Premium,
33.0,,,73.0,10.0,,Female,Monthly,Credit Card,Fiber,,Standard,No
,4142.822336261952,231.9688893965359,63.0,3.0,7.0,Male,Monthly,Credit Card,Fiber,South,,No
37.0,3448.5889128755975,148.176162126464,76.0,0.0,9.0,Female,Yearly,Credit Card,Mobile,,Basic,Yes
,2978.858167741127,450.54117559315796,44.0,0.0,4.0,Male,Monthly,Debit Card,DSL,North,Standard,Yes
50.0,891.4404196013456,62.48878529926018,38.0,,3.0,Female,Yearly,UPI,,,,
41.0,,478.179820332883,83.0,4.0,9.0,Female,Quarterly,,DSL,,,No
69.0,,160.41352510178965,60.0,11.0,4.0,Female,Quarterly,UPI,Mobile,West,Basic,Yes
28.0,,444.7598177927972,71.0,1.0,3.0,Female,Monthly,Credit Card,,,,Yes
66.0,3755.390511598632,303.4567238573335,99.0,3.0,7.0,Female,Quarterly,Net Banking,,North,Standard,No
,2731.440807854469,414.2201430720363,48.0,0.0,3.0,Male,Quarterly,Debit Card,DSL,North,Premium,
53.0,864.7079715844156,492.0865157891798,18.0,3.0,9.0,,Monthly,,Mobile,East,Standard,No
55.0,1490.824408774151,147.76069172027914,16.0,10.0,5.0,Male,Quarterly,Credit Card,Fiber,South,Basic,Yes
57.0,3574.6644364681815,480.7620652767585,55.0,5.0,,Male,Monthly,Net Banking,Mobile,South,Basic,No
37.0,842.5888677063508,197.79353797669808,39.0,9.0,,Male,Yearly,Debit Card,Fiber,North,Basic,No
52.0,,195.82839284477654,68.0,3.0,5.0,Male,Yearly,Net Banking,,West,Basic,No
65.0,,173.4916166059803,,0.0,4.0,Male,,Debit Card,DSL,,Premium,Yes
42.0,,,89.0,6.0,1.0,Male,Monthly,Credit Card,Mobile,North,,No
52.0,3165.8350309678294,81.30179637335111,96.0,13.0,6.0,Male,,UPI,Mobile,,Premium,No
,,279.08718525221553,62.0,1.0,3.0,Male,Quarterly,Credit Card,Mobile,North,,
46.0,,273.143882142952,,,7.0,Female,Quarterly,,Fiber,East,Premium,
35.0,3551.072686515786,382.14139723941065,13.0,,6.0,Female,Quarterly,,DSL,North,,No
63.0,3045.79383798106,417.6567311591049,109.0,2.0,6.0,Male,Quarterly,Debit Card,Fiber,East,Basic,
35.0,,,81.0,7.0,8.0,,Quarterly,,Fiber,North,,Yes
,,,113.0,12.0,0.0,Male,Monthly,Debit Card,Mobile,South,Standard,Yes
52.0,,133.37077417196176,101.0,,,,Monthly,Credit Card,Mobile,West,Standard,Yes
33.0,3463.0332559629146,,6.0,2.0,5.0,,Yearly,Net Banking,Fiber,South,Standard,
58.0,4327.617780924089,33.53555318851731,83.0,,,Male,Yearly,UPI,Fiber,North,Premium,No
,4402.823904319111,174.5117495231831,77.0,1.0,5.0,,Yearly,,,,Standard,Yes
,3687.6333952176565,138.77260760473771,60.0,3.0,5.0,Female,Yearly,Credit Card,Mobile,East,,Yes
21.0,4266.559977636524,483.37660600387164,,10.0,9.0,,Monthly,Net Banking,Fiber,North,Premium,Yes
50.0,3638.621577511776,281.06586899377174,14.0,,6.0,Male,Monthly,Credit Card,,,Standard,No
,3560.6334729213518,176.90213432010123,95.0,,,,Monthly,Credit Card,Mobile,North,Standard,No
,3283.7512019683295,292.3314624918795,54.0,13.0,5.0,,,,,South,Standard,
65.0,3887.2248780093855,73.90236716611928,4.0,8.0,0.0,Male,Quarterly,Credit Card,Fiber,East,,Yes
,1213.7229738188316,224.80165585509044,39.0,1.0,2.0,Female,Yearly,Net Banking,DSL,South,Premium,No
,4463.918416395178,314.9859891034266,,11.0,1.0,Female,,Credit Card,Fiber,East,,No
24.0,4423.295874853544,247.00442673726343,,,5.0,,Monthly,Net Banking,Mobile,South,Standard,Yes
20.0,,203.8805063238905,77.0,12.0,7.0,Male,Yearly,,Fiber,North,,
,4216.175377541433,496.9549525053506,32.0,2.0,2.0,Male,Yearly,Credit Card,Fiber,South,,Yes
50.0,,440.75580726371885,59.0,14.0,9.0,Female,Quarterly,,Fiber,South,Premium,Yes
,2008.0348441661386,,102.0,10.0,,Male,Yearly,UPI,DSL,East,Standard,No
,,286.84179378523,63.0,10.0,,Male,Quarterly,Net Banking,DSL,East,Premium,Yes
,1223.4195322173869,312.2269375131691,38.0,14.0,,Male,Quarterly,UPI,,,,Yes
39.0,4180.8516085357805,104.64949337210446,92.0,3.0,,Female,Yearly,,DSL,East,Basic,Yes
,4244.6038008098385,200.5931829158377,53.0,4.0,5.0,Male,Quarterly,Credit Card,Fiber,East,Premium,Yes
63.0,2783.604801923763,24.532468780995163,94.0,0.0,,Female,Quarterly,Credit Card,DSL,East,,Yes
,528.7364227257511,240.3952885559792,,6.0,,Male,Quarterly,UPI,,West,,Yes
,1791.6715992871075,273.79716905904326,28.0,13.0,6.0,Male,Quarterly,,DSL,,,No
,,,,9.0,7.0,Male,,Net Banking,DSL,West,Premium,Yes
62.0,4915.337801123405,482.1942793469293,109.0,6.0,0.0,Female,Monthly,,DSL,West,Standard,
68.0,,,118.0,,1.0,Male,Monthly,Net Banking,Fiber,,Standard,
25.0,,362.4609015506734,98.0,3.0,,Male,,Net Banking,DSL,South,,Yes
44.0,,,80.0,13.0,,Female,,Credit Card,,,,No
,2929.9342087213495,435.6347340256041,22.0,,3.0,,Quarterly,UPI,Fiber,North,Premium,No
51.0,4009.304278180146,69.67291019261414,,5.0,9.0,Female,Monthly,Credit Card,Mobile,South,Standard,
,981.4128747213128,396.30234816606804,38.0,10.0,9.0,Male,Quarterly,,,West,Premium,No
47.0,3924.6255612591262,66.7863029135899,72.0,1.0,8.0,Female,Yearly,Credit Card,Mobile,,Standard,Yes
50.0,2935.699604042496,398.13427796195566,119.0,11.0,,Male,Yearly,Net Banking,Mobile,,Standard,Yes
,4833.464017365476,,72.0,11.0,9.0,Female,,Credit Card,Fiber,South,Basic,Yes
64.0,2038.4247471740873,439.15983760400354,62.0,13.0,9.0,Female,Monthly,,,East,Basic,Yes
50.0,,472.30083644357194,57.0,3.0,9.0,Female,Quarterly,,Fiber,West,Basic,No
22.0,4694.126474795079,,6.0,1.0,8.0,Male,Quarterly,Net Banking,Fiber,North,,No
65.0,,234.0244245073698,78.0,9.0,6.0,Male,Quarterly,Net Banking,DSL,East,Premium,Yes
36.0,4717.52819256403,490.58875219052914,32.0,4.0,1.0,,Monthly,Debit Card,Fiber,,Standard,Yes
,3595.48575035366,,99.0,14.0,8.0,Male,Monthly,,DSL,,Basic,No
52.0,805.2667659732736,432.4560236446998,10.0,6.0,3.0,Male,Monthly,,DSL,South,Standard,No
66.0,,,,12.0,7.0,Male,Monthly,Credit Card,Fiber,South,,Yes
34.0,3686.774398903767,190.7883044202029,59.0,0.0,6.0,Male,,Credit Card,Fiber,South,,
,,146.46285998530576,76.0,,6.0,,,Debit Card,,East,Premium,Yes
45.0,3119.76707079323,105.5954300876132,49.0,,7.0,Male,Monthly,Debit Card,Fiber,,,
,2056.4737562883056,382.09010473196014,59.0,9.0,0.0,Female,,Debit Card,,North,Basic,No
46.0,3294.119829953647,196.3375508773988,31.0,6.0,,Female,Quarterly,Debit Card,,West,Basic,
63.0,,258.08135378937186,93.0,9.0,1.0,,Quarterly,,DSL,South,Standard,No
23.0,4421.915627685694,248.70111260058505,69.0,12.0,1.0,Male,Quarterly,Net Banking,Mobile,North,Basic,Yes
52.0,,290.75311947039995,,5.0,0.0,,Yearly,UPI,Fiber,South,Standard,Yes
58.0,,,52.0,5.0,4.0,Male,,Debit Card,,,Basic,No
,3873.433242843161,,89.0,11.0,,Female,Monthly,Net Banking,Fiber,South,,Yes
41.0,1085.388080587844,206.75418324403938,41.0,7.0,,,Quarterly,Debit Card,DSL,,Premium,No
46.0,3912.1843816806017,414.62186644262005,31.0,7.0,2.0,Male,Yearly,Credit Card,Mobile,South,Basic,No
66.0,,383.4412583540852,85.0,5.0,2.0,Female,Quarterly,Credit Card,DSL,,Standard,Yes
63.0,599.5559818804877,288.89683097050874,84.0,2.0,1.0,Female,Yearly,Net Banking,Mobile,,Standard,Yes
48.0,1956.2459861729355,478.24333608790687,103.0,4.0,,Male,Yearly,Net Banking,Fiber,,,Yes
,2698.8943568209957,104.23488518655938,22.0,1.0,1.0,Male,Monthly,Net Banking,DSL,,Basic,No
50.0,3966.8333801350695,59.0857841032626,4.0,14.0,7.0,Male,Monthly,,Fiber,West,,Yes
,3574.8291947292732,427.71117364293394,13.0,13.0,7.0,Male,Yearly,,DSL,South,,Yes
38.0,,,45.0,4.0,4.0,Female,Monthly,UPI,Fiber,West,,Yes
49.0,1731.3199982674964,424.2495828324949,,13.0,9.0,Male,Yearly,Net Banking,,North,,Yes
,4987.0602507097,447.0796515717304,114.0,8.0,,,Yearly,UPI,DSL,,Premium,No
50.0,,35.91650884144036,49.0,9.0,,Male,Quarterly,Debit Card,Mobile,South,,No
20.0,2531.24160948354,442.31505767810006,20.0,0.0,0.0,Female,Monthly,UPI,Fiber,,,No
35.0,,226.917932407864,116.0,9.0,1.0,Male,Monthly,,,,,No
,4076.6429693746823,257.66408205709496,77.0,4.0,9.0,,Monthly,Debit Card,Mobile,,Standard,
,3621.570016016699,315.1632929911391,81.0,11.0,9.0,Female,Quarterly,,Fiber,North,Basic,
48.0,,463.55939033139293,54.0,5.0,3.0,,Quarterly,Net Banking,DSL,,Standard,No
,,14.462466742733195,36.0,,0.0,Female,Quarterly,Debit Card,,South,Basic,
57.0,,241.03751681731947,,10.0,,Male,,Net Banking,Fiber,South,Standard,No
63.0,3445.3004642651085,345.42241100312754,1.0,6.0,8.0,Female,Monthly,,DSL,North,Standard,
,1729.667871491942,362.7399440606231,15.0,8.0,,Female,Monthly,Debit Card,Mobile,South,Premium,No
67.0,,347.80355361086845,77.0,5.0,9.0,Female,Quarterly,Credit Card,Mobile,West,,
49.0,,71.54538905702032,17.0,4.0,2.0,Female,Quarterly,UPI,Mobile,West,,
64.0,2445.5066046917086,153.20081624398222,24.0,11.0,1.0,,,,DSL,,Premium,
39.0,,182.56418508142167,58.0,,,Female,Quarterly,UPI,Mobile,South,Premium,No
40.0,2388.7729261675504,,72.0,12.0,,Female,Yearly,Debit Card,DSL,West,Premium,Yes
19.0,3373.366764488385,142.98613684520376,114.0,0.0,9.0,Female,Monthly,Credit Card,Mobile,South,,No
44.0,2289.174790832574,109.29895711426556,91.0,10.0,6.0,Female,Quarterly,,Fiber,West,Basic,No
,1733.968410569015,478.9367694238576,109.0,,5.0,Male,Monthly,,,East,Premium,No
19.0,4927.899415819227,9.387326131167105,,4.0,0.0,Male,Monthly,Net Banking,Fiber,East,,No
43.0,2342.0030284176937,498.92132356257923,46.0,14.0,,,Monthly,Net Banking,,,,No
34.0,4523.446416556105,,72.0,1.0,1.0,Male,Monthly,Debit Card,Fiber,South,Basic,No
57.0,1534.7957265098878,,8.0,3.0,,,,Debit Card,DSL,South,,
50.0,,150.83660119136562,59.0,6.0,,Female,Monthly,,,West,,Yes
26.0,,12.086062445194688,,4.0,7.0,Female,Yearly,,Mobile,,,Yes
,,370.24541168795736,,11.0,1.0,Female,,,DSL,East,,
,2158.368546756925,417.9015755153345,,5.0,8.0,Female,,Credit Card,Fiber,North,,Yes
,4389.6121242783665,371.535685316992,13.0,1.0,4.0,Female,Quarterly,Debit Card,,North,Premium,No
46.0,2629.4445801120073,,,2.0,9.0,Female,Yearly,,DSL,South,,Yes
59.0,4856.870425616248,377.9468215171997,,6.0,,Male,Monthly,Credit Card,DSL,West,Basic,No
43.0,1334.864820664045,,113.0,10.0,2.0,Female,Yearly,Credit Card,Mobile,South,,Yes
52.0,,330.9775552566772,28.0,1.0,2.0,,Monthly,Debit Card,Fiber,East,Premium,No
67.0,3994.6858375628376,384.2273867338152,89.0,11.0,9.0,,Yearly,UPI,DSL,South,Basic,Yes
42.0,,423.7311126404774,,5.0,7.0,Female,Monthly,Net Banking,,South,Standard,Yes
41.0,,308.7340365475419,16.0,4.0,9.0,Male,Quarterly,UPI,DSL,East,,
30.0,3924.607959243495,48.859333414991134,,9.0,9.0,Female,Monthly,,Fiber,,,No
,3317.991447341369,246.37576578526938,2.0,0.0,1.0,Female,Quarterly,,DSL,East,Basic,Yes
,1090.6019495707442,43.436420662444505,118.0,11.0,1.0,,Monthly,,DSL,East,Basic,
62.0,646.3678077106337,,82.0,10.0,,Female,Monthly,,Mobile,North,,No
37.0,4643.815315170591,206.51771211718568,17.0,14.0,5.0,Male,Yearly,Debit Card,,West,Basic,Yes
18.0,3274.926415343321,37.67487284941958,30.0,9.0,,Female,Yearly,UPI,Mobile,West,Standard,No
25.0,4084.4178093927935,177.66616431489226,103.0,,4.0,Female,Yearly,,Fiber,East,Standard,Yes
,2666.8505818064755,,13.0,3.0,6.0,Male,Monthly,Net Banking,Fiber,West,Basic,Yes
33.0,1027.8868503307751,405.07642895456496,96.0,10.0,,Female,Monthly,Net Banking,Fiber,,Premium,No
31.0,1063.336064911477,,114.0,1.0,9.0,,Monthly,Net Banking,Mobile,West,,
,3585.0437925303713,40.796655252679614,93.0,3.0,7.0,Male,Quarterly,Credit Card,Mobile,West,Premium,No
68.0,2436.3765270475824,477.7820276093922,110.0,0.0,,,Quarterly,UPI,,East,Premium,Yes
,1402.3612701515153,263.6754166716889,94.0,1.0,7.0,,Monthly,,Mobile,South,Premium,Yes
32.0,2712.175460336466,153.2850105871676,82.0,12.0,8.0,,Yearly,Net Banking,DSL,South,Standard,Yes
,788.9402168381034,43.04672726170094,13.0,7.0,,,,Net Banking,DSL,South,Premium,No
51.0,3118.8713086147945,252.80901269485682,43.0,5.0,4.0,Female,Yearly,Debit Card,DSL,North,,
19.0,1710.4703199579394,398.2851945229206,85.0,1.0,,Female,Monthly,Credit Card,Fiber,,Standard,Yes
,4089.0159528673466,355.0078062470156,,11.0,,,Yearly,Credit Card,DSL,,Premium,
40.0,,29.86187567466701,21.0,14.0,8.0,Male,Monthly,Credit Card,Fiber,East,Premium,Yes
39.0,2548.4906708681056,41.08640850711224,112.0,5.0,4.0,Female,,Credit Card,Mobile,North,Basic,
68.0,552.2924295864528,204.42227490315537,55.0,9.0,1.0,Male,Yearly,Credit Card,Fiber,East,Premium,No
42.0,826.010995075515,151.1687945537319,81.0,8.0,,Female,Quarterly,Debit Card,Fiber,South,Premium,
,2266.221003830082,,40.0,6.0,7.0,Female,Yearly,UPI,DSL,North,Premium,No
39.0,2659.724756227056,144.09722695981324,83.0,8.0,6.0,Male,Monthly,Debit Card,Mobile,East,Premium,No
66.0,,402.7239579319579,116.0,4.0,,Female,Monthly,,Mobile,North,,No
,,464.9678865477677,15.0,6.0,,Male,Monthly,Debit Card,DSL,,,
59.0,3627.4184875694414,205.52583379114537,73.0,10.0,,,Monthly,Credit Card,Mobile,East,Premium,No
23.0,4370.550787351421,453.52494605558604,52.0,14.0,4.0,,Yearly,,Mobile,South,Premium,No
32.0,,164.14037211770156,74.0,13.0,,Female,Quarterly,Credit Card,Mobile,East,,No
60.0,,240.83630824017686,108.0,6.0,0.0,Female,Monthly,Debit Card,DSL,West,Standard,Yes
,,,95.0,,,Female,Yearly,Credit Card,Mobile,West,Premium,No
50.0,972.1858028817869,322.0356408770428,53.0,11.0,,Male,,,Fiber,East,Premium,
,,489.59565201153043,87.0,2.0,,Male,Monthly,Credit Card,,South,Premium,
,,303.72908254147245,52.0,6.0,6.0,Male,Quarterly,,Mobile,,,No
61.0,1141.2299430568096,182.1179716362067,30.0,0.0,,,Monthly,Net Banking,DSL,West,Basic,Yes
22.0,2744.996690531102,325.66963576531157,,8.0,0.0,Male,Quarterly,Debit Card,DSL,,Premium,Yes
56.0,3281.7008044315357,,57.0,9.0,6.0,Male,Quarterly,Net Banking,DSL,East,Standard,No
,3661.092367448468,444.8862447313723,52.0,12.0,7.0,,Monthly,UPI,Mobile,East,,Yes
23.0,3018.4190756911134,,9.0,,6.0,Male,Yearly,,Mobile,North,Standard,
62.0,543.9688133863265,227.4281223096228,54.0,4.0,3.0,Male,Quarterly,UPI,Fiber,,,
49.0,1969.0758870979635,295.003070284492,,6.0,7.0,,Monthly,Debit Card,,North,Standard,Yes
69.0,,314.2680120807542,1.0,4.0,4.0,Male,Quarterly,,,East,Premium,Yes
47.0,895.39924615175,,44.0,9.0,9.0,Male,Quarterly,Net Banking,Fiber,South,,Yes
64.0,2077.8211904413133,342.8955245055842,99.0,,,Male,Yearly,Net Banking,,West,,No
,,124.75618175618715,75.0,10.0,9.0,Male,Quarterly,Net Banking,,North,Basic,
57.0,853.6032371975933,358.406553090762,98.0,9.0,4.0,Female,Quarterly,,Mobile,South,Basic,
69.0,2286.1547429071825,412.1547232201774,80.0,10.0,0.0,Female,Monthly,Credit Card,,East,,No
33.0,1097.2208931937716,402.95946123849757,9.0,6.0,,Male,Monthly,UPI,Fiber,North,Standard,No
,3053.933817177012,278.4879788669051,,9.0,4.0,Female,Yearly,,Fiber,,Premium,Yes
67.0,,262.4840966938218,15.0,14.0,5.0,Female,Quarterly,,Fiber,South,Standard,Yes
59.0,4102.640145990873,75.7236008630088,12.0,6.0,3.0,Male,Quarterly,,DSL,North,Basic,
47.0,1400.6760991016454,,97.0,12.0,5.0,Male,Quarterly,Credit Card,,North,Premium,Yes
36.0,1253.671620165814,139.3476433211236,109.0,10.0,7.0,Male,Yearly,UPI,Fiber,North,,Yes
34.0,970.5552815048011,250.86423429488354,78.0,14.0,,,Quarterly,Credit Card,,North,,
36.0,,,57.0,2.0,4.0,,Monthly,,Mobile,South,Basic,Yes
45.0,3679.1407691910554,71.24503968484811,,2.0,1.0,Female,Yearly,Debit Card,,North,Standard,Yes
,642.1376517153892,316.6310599614096,72.0,9.0,1.0,Male,Monthly,Net Banking,DSL,West,,Yes
54.0,,31.894357237337395,27.0,11.0,6.0,Female,Monthly,,,West,Basic,Yes
43.0,733.8707764316258,375.579390892469,,12.0,9.0,Female,Yearly,Net Banking,Mobile,East,Basic,No
40.0,2935.833508854817,162.20546365425275,,14.0,,Male,Monthly,,Mobile,North,Premium,No
26.0,3690.772337529124,5.066673037220234,65.0,2.0,9.0,,Quarterly,Debit Card,Fiber,West,,
,,,,5.0,5.0,Female,Yearly,UPI,Fiber,,Standard,No
18.0,3713.3911945959253,28.191694721163547,,11.0,3.0,,Monthly,Credit Card,DSL,West,,No
18.0,4107.776373814064,,42.0,14.0,4.0,,Quarterly,Net Banking,DSL,South,Basic,
64.0,2027.5258664426274,354.9533612905795,,5.0,0.0,Male,,UPI,Fiber,North,,No
,,,115.0,12.0,6.0,Female,Monthly,,Mobile,South,Standard,No
49.0,860.5168087310382,420.47255371622117,,12.0,,,Quarterly,UPI,Fiber,South,Premium,No
65.0,4526.674952272375,6.890861715998638,103.0,2.0,8.0,Female,Yearly,UPI,,West,Standard,
42.0,,,43.0,2.0,7.0,,Monthly,Credit Card,DSL,West,Standard,Yes
57.0,4177.839964831222,,95.0,7.0,4.0,Male,,,Fiber,,,No
62.0,2535.4322803323507,161.55372411600686,17.0,7.0,2.0,Male,Quarterly,,Fiber,North,,No
18.0,,55.4367320926767,,6.0,9.0,Female,Monthly,Net Banking,Fiber,North,Premium,Yes
33.0,2868.8119742125095,,32.0,9.0,8.0,Male,Monthly,,DSL,West,Basic,
56.0,3792.1528478989935,138.84467676034015,,3.0,5.0,Female,Monthly,,Mobile,West,,
22.0,867.3349191376531,422.1423915694747,,14.0,4.0,,,Credit Card,Fiber,North,Standard,No
39.0,771.5843779575371,160.10721920464584,85.0,3.0,2.0,Female,Yearly,Debit Card,DSL,East,Premium,No
46.0,,395.5215735291236,40.0,2.0,5.0,Female,Monthly,Net Banking,DSL,West,Premium,
,1217.9510605093474,446.4767116813137,23.0,4.0,2.0,Male,Yearly,Debit Card,DSL,East,,
29.0,4423.026049664908,219.7396226903821,,2.0,9.0,,Yearly,Debit Card,Fiber,South,Basic,Yes
43.0,,455.42185620792407,6.0,12.0,5.0,Female,Monthly,,Fiber,,Basic,No
,4891.393651186091,191.77243671178047,,7.0,,Female,Yearly,Net Banking,Mobile,South,Premium,Yes
,,482.21881616260356,50.0,6.0,1.0,Female,Monthly,Net Banking,,West,Premium,No
,1319.530620599147,49.1983146401586,102.0,12.0,7.0,,Monthly,Net Banking,Fiber,South,Standard,No
39.0,4053.6432821411563,,37.0,2.0,3.0,Male,Quarterly,Debit Card,DSL,West,Standard,No
46.0,3464.1849897539423,249.4379500261797,109.0,8.0,8.0,Male,,,,East,Premium,
,,,64.0,11.0,6.0,,Quarterly,,Mobile,East,Standard,
45.0,2999.1359792193407,318.19237998055746,115.0,13.0,1.0,Female,,Net Banking,Fiber,East,Premium,No
22.0,3736.4080022251874,,54.0,12.0,3.0,Male,Quarterly,Net Banking,,South,Premium,
64.0,1528.0463359908442,7.159818476902998,72.0,4.0,4.0,Male,Yearly,,DSL,East,,No
66.0,4983.502622255339,87.64177892986336,105.0,,2.0,Female,,,DSL,South,,
47.0,,357.95779506398776,49.0,,8.0,,,Net Banking,Mobile,West,Standard,
63.0,3426.465588561216,334.8607797212122,99.0,14.0,,Male,Yearly,UPI,Mobile,South,,
,1397.9410291811532,483.19351503869524,,6.0,1.0,Female,Monthly,Net Banking,Mobile,,Basic,Yes
,3561.027090940811,381.7137061741376,11.0,,2.0,,Yearly,,Mobile,North,Standard,Yes
29.0,824.8928404062913,475.6324903270123,88.0,1.0,8.0,Female,Monthly,UPI,Mobile,North,Standard,
,637.9362599261273,,49.0,8.0,6.0,Male,Quarterly,Net Banking,Mobile,,,Yes
43.0,,152.53584327652436,,5.0,1.0,Female,Monthly,UPI,DSL,South,Premium,No
,2581.8033053269232,57.155636514173956,115.0,7.0,8.0,,Monthly,,Mobile,North,Basic,No
,4407.226274337712,392.0028123557431,66.0,0.0,,Female,Yearly,Credit Card,DSL,North,,
38.0,3772.260813948386,,63.0,4.0,8.0,,,Net Banking,DSL,North,Premium,No
56.0,3842.179345399915,28.852076134681635,104.0,11.0,1.0,Female,Monthly,,Fiber,West,Premium,Yes
53.0,2414.720005016339,,,0.0,,Male,Quarterly,,DSL,,Premium,Yes
50.0,,478.61590866472164,103.0,9.0,3.0,Male,Quarterly,Debit Card,DSL,South,,No
47.0,2169.6744334307123,252.69856712654962,28.0,10.0,4.0,,Yearly,Credit Card,Mobile,North,Basic,Yes
54.0,4944.42303681226,219.2009223297538,17.0,13.0,1.0,,Monthly,Credit Card,DSL,West,Premium,Yes
40.0,680.4913613561712,231.5613045538505,6.0,7.0,,Male,,Credit Card,Mobile,East,Standard,
,4401.641732551018,108.39694838255605,19.0,7.0,0.0,Female,Monthly,UPI,Mobile,,,No
22.0,,187.51004957807362,56.0,0.0,6.0,Female,Quarterly,,Mobile,East,Premium,
53.0,2473.7693863531567,188.05756171365243,102.0,8.0,9.0,,Monthly,Net Banking,Fiber,West,Standard,Yes
,3763.6594718681145,30.91573499279884,28.0,1.0,0.0,Female,Monthly,Credit Card,Mobile,North,Standard,Yes
69.0,2690.0102364111626,384.94597611636954,66.0,11.0,7.0,Male,Quarterly,Credit Card,DSL,,Premium,No
48.0,4430.404571367473,211.1696937924201,38.0,8.0,2.0,,Quarterly,,Mobile,West,,
,4553.158388050663,411.9790439741295,119.0,0.0,9.0,Female,Monthly,,Mobile,,Standard,
,,425.9222605543482,37.0,11.0,5.0,Male,,Debit Card,Mobile,South,Basic,No
,1745.7250875577322,109.93705707583574,115.0,9.0,6.0,,Monthly,,Fiber,West,,Yes
,3165.57647867013,,116.0,13.0,9.0,,Quarterly,,DSL,East,,No
22.0,4605.635055275109,238.77949306067595,68.0,13.0,0.0,,Yearly,,Fiber,East,Premium,
62.0,1447.9798505254996,,86.0,8.0,5.0,Male,Quarterly,,DSL,West,,No
,3303.3496260356724,,90.0,3.0,6.0,,Quarterly,Net Banking,Fiber,,Standard,
33.0,3342.0209904163426,340.5175341534719,,,5.0,Male,,Debit Card,DSL,West,Basic,No
41.0,,305.8373005150977,43.0,6.0,,Male,Quarterly,,Fiber,East,Premium,No
33.0,1092.0545830726692,151.17423139805723,36.0,10.0,0.0,,Quarterly,UPI,Mobile,South,Basic,Yes
19.0,,72.61744730733044,,,8.0,Male,Quarterly,Credit Card,Fiber,,Standard,
66.0,4590.646342995385,327.5616814362519,13.0,,3.0,,Quarterly,UPI,Fiber,South,,Yes
,1308.573989916089,,52.0,4.0,6.0,Female,Quarterly,Net Banking,Mobile,South,Premium,Yes
49.0,1568.9449621574495,161.23553516285824,58.0,10.0,6.0,Male,Quarterly,Debit Card,Mobile,North,Premium,
,4871.277923187378,324.19213899104534,32.0,8.0,1.0,Male,Quarterly,,DSL,East,Premium,Yes
37.0,1314.396287192704,,81.0,1.0,0.0,,Quarterly,Debit Card,DSL,North,,
